0.000000 0.000000  1.000000 0.500000
0.005000 0.005000  0.955950 0.505970
0.010000 0.009780  0.911469 0.511327
0.015000 0.014337  0.866573 0.516121
0.020000 0.018670  0.821278 0.520401
0.025000 0.022776  0.775600 0.524214
0.030000 0.026654  0.729558 0.527607
0.035000 0.030302  0.683169 0.530624
0.040000 0.033718  0.636453 0.533310
0.045000 0.036900  0.589428 0.535704
0.050000 0.039847  0.542115 0.537848
0.055000 0.042558  0.494535 0.539776
0.060000 0.045031  0.446708 0.541525
0.065000 0.047264  0.398655 0.543125
0.070000 0.049257  0.350400 0.544606
0.075000 0.051009  0.301964 0.545994
0.080000 0.052519  0.253370 0.547312
0.085000 0.053786  0.204641 0.548581
0.090000 0.054809  0.155800 0.549816
0.095000 0.055588  0.106872 0.551032
0.100000 0.056123  0.057879 0.552239
0.105000 0.056412  0.008846 0.553442
0.110000 0.056456  -0.040204 0.554645
0.115000 0.056255  -0.089246 0.555847
0.120000 0.055809  -0.138256 0.557044
0.125000 0.055118  -0.187211 0.558229
0.130000 0.054182  -0.236085 0.559391
0.135000 0.053001  -0.284857 0.560514
0.140000 0.051577  -0.333501 0.561582
0.145000 0.049910  -0.381995 0.562572
0.150000 0.048000  -0.430315 0.563461
0.155000 0.045848  -0.478439 0.564221
0.160000 0.043456  -0.526345 0.564821
0.165000 0.040824  -0.574010 0.565227
0.170000 0.037954  -0.621412 0.565405
0.175000 0.034847  -0.668531 0.565316
0.180000 0.031504  -0.715347 0.564918
0.185000 0.027928  -0.761838 0.564168
0.190000 0.024118  -0.807986 0.563022
0.195000 0.020078  -0.853772 0.561433
0.200000 0.015810  -0.899177 0.559352
0.205000 0.011314  -0.944185 0.556730
0.210000 0.006593  -0.988777 0.553515
0.215000 0.001649  -1.032939 0.549657
0.220000 -0.003516  -1.076654 0.545102
0.225000 -0.008899  -1.119908 0.539797
0.230000 -0.014499  -1.162687 0.533689
0.235000 -0.020312  -1.204978 0.526725
0.240000 -0.026337  -1.246768 0.518850
0.245000 -0.032571  -1.288046 0.510012
0.250000 -0.039011  -1.328801 0.500157
0.255000 -0.045655  -1.369022 0.489235
0.260000 -0.052500  -1.408701 0.477193
0.265000 -0.059544  -1.447829 0.463981
0.270000 -0.066783  -1.486398 0.449550
0.275000 -0.074215  -1.524401 0.433852
0.280000 -0.081837  -1.561832 0.416841
0.285000 -0.089646  -1.598685 0.398471
0.290000 -0.097639  -1.634956 0.378699
0.295000 -0.105814  -1.670641 0.357484
0.300000 -0.114167  -1.705736 0.334785
0.305000 -0.122696  -1.740238 0.310566
0.310000 -0.131397  -1.774146 0.284790
0.315000 -0.140268  -1.807458 0.257423
0.320000 -0.149305  -1.840173 0.228435
0.325000 -0.158506  -1.872292 0.197794
0.330000 -0.167868  -1.903815 0.165474
0.335000 -0.177387  -1.934742 0.131451
0.340000 -0.187060  -1.965076 0.095700
0.345000 -0.196886  -1.994819 0.058201
0.350000 -0.206860  -2.023972 0.018936
0.355000 -0.216980  -2.052540 -0.022111
0.360000 -0.227242  -2.080525 -0.064956
0.365000 -0.237645  -2.107932 -0.109609
0.370000 -0.248185  -2.134765 -0.156080
0.375000 -0.258859  -2.161029 -0.204378
0.380000 -0.269664  -2.186729 -0.254509
0.385000 -0.280597  -2.211870 -0.306475
0.390000 -0.291657  -2.236458 -0.360279
0.395000 -0.302839  -2.260499 -0.415921
0.400000 -0.314141  -2.284000 -0.473399
0.405000 -0.325561  -2.306967 -0.532710
0.410000 -0.337096  -2.329406 -0.593847
0.415000 -0.348743  -2.351326 -0.656806
0.420000 -0.360500  -2.372732 -0.721576
0.425000 -0.372364  -2.393633 -0.788148
0.430000 -0.384332  -2.414035 -0.856511
0.435000 -0.396402  -2.433948 -0.926653
0.440000 -0.408572  -2.453377 -0.998559
0.445000 -0.420839  -2.472332 -1.072214
0.450000 -0.433200  -2.490820 -1.147603
0.455000 -0.445654  -2.508849 -1.224708
0.460000 -0.458199  -2.526427 -1.303511
0.465000 -0.470831  -2.543563 -1.383993
0.470000 -0.483549  -2.560264 -1.466134
0.475000 -0.496350  -2.576540 -1.549914
0.480000 -0.509233  -2.592397 -1.635311
0.485000 -0.522195  -2.607844 -1.722302
0.490000 -0.535234  -2.622890 -1.810867
0.495000 -0.548348  -2.637542 -1.900981
