0.000000 0.000000  1.000000 0.500000
0.250000 0.250000  -1.427500 3.471378
0.500000 -0.106875  -3.829056 6.282392
0.750000 -1.064139  -5.915014 7.054493
1.000000 -2.542893  -7.492829 3.125470
1.250000 -4.416100  -8.541767 -6.841048
1.500000 -6.551542  -9.170222 -22.224134
1.750000 -8.844097  -9.520398 -41.441606
2.000000 -11.224197  -9.706949 -62.996946
2.250000 -13.650934  -9.803827 -85.858148
2.500000 -16.101891  -9.853452 -109.414295
2.750000 -18.565254  -9.878689 -133.330892
3.000000 -21.034926  -9.891477 -157.431969
3.250000 -23.507795  -9.897944 -181.626824
3.500000 -25.982281  -9.901212 -205.869182
3.750000 -28.457584  -9.902862 -230.135562
4.000000 -30.933299  -9.903695 -254.414079
4.250000 -33.409223  -9.904116 -278.698725
4.500000 -35.885252  -9.904328 -302.986466
4.750000 -38.361334  -9.904435 -327.275769
