0.000000 0.000000  1.000000 0.500000
0.250000 0.223144  0.800000 2.509038
0.500000 0.405465  0.666667 4.199835
0.750000 0.559616  0.571429 5.653096
1.000000 0.693147  0.500000 6.924774
1.250000 0.810930  0.444444 8.053991
1.500000 0.916291  0.400000 9.068812
1.750000 1.011601  0.363636 9.989921
2.000000 1.098612  0.333333 10.832942
2.250000 1.178655  0.307692 11.609943
2.500000 1.252763  0.285714 12.330421
2.750000 1.321756  0.266667 13.001980
3.000000 1.386294  0.250000 13.630798
3.250000 1.446919  0.235294 14.221957
3.500000 1.504077  0.222222 14.779691
3.750000 1.558145  0.210526 15.307559
4.000000 1.609438  0.200000 15.808586
4.250000 1.658228  0.190476 16.285358
4.500000 1.704748  0.181818 16.740108
4.750000 1.749200  0.173913 17.174773
