0.377500 -0.316864  -2.703275 0.545411
0.380000 -0.323622  -2.727800 0.545712
0.382500 -0.330442  -2.752325 0.546013
0.385000 -0.337323  -2.776850 0.546314
0.387500 -0.344265  -2.801375 0.546614
0.390000 -0.351268  -2.825900 0.546915
0.392500 -0.358333  -2.850425 0.547216
0.395000 -0.365459  -2.874950 0.547517
0.397500 -0.372646  -2.899475 0.547817
0.400000 -0.379895  -2.924000 0.548118
0.402500 -0.387205  -2.948525 0.548419
0.405000 -0.394576  -2.973050 0.548720
0.407500 -0.402009  -2.997575 0.549020
0.410000 -0.409503  -3.022100 0.549321
0.412500 -0.417058  -3.046625 0.549622
0.415000 -0.424675  -3.071150 0.549922
0.417500 -0.432353  -3.095675 0.550223
0.420000 -0.440092  -3.120200 0.550524
0.422500 -0.447892  -3.144725 0.550825
0.425000 -0.455754  -3.169250 0.551125
0.427500 -0.463677  -3.193775 0.551426
0.430000 -0.471662  -3.218300 0.551727
0.432500 -0.479707  -3.242825 0.552028
0.435000 -0.487814  -3.267350 0.552328
0.437500 -0.495983  -3.291875 0.552629
0.440000 -0.504213  -3.316400 0.552930
0.442500 -0.512504  -3.340925 0.553231
0.445000 -0.520856  -3.365450 0.553531
0.447500 -0.529269  -3.389975 0.553832
0.450000 -0.537744  -3.414500 0.554133
0.452500 -0.546281  -3.439025 0.554434
0.455000 -0.554878  -3.463550 0.554734
0.457500 -0.563537  -3.488075 0.555035
0.460000 -0.572257  -3.512600 0.555336
0.462500 -0.581039  -3.537125 0.555636
0.465000 -0.589882  -3.561650 0.555937
0.467500 -0.598786  -3.586175 0.556238
0.470000 -0.607751  -3.610700 0.556539
0.472500 -0.616778  -3.635225 0.556839
0.475000 -0.625866  -3.659750 0.557140
0.477500 -0.635015  -3.684275 0.557441
0.480000 -0.644226  -3.708800 0.557742
0.482500 -0.653498  -3.733325 0.558042
0.485000 -0.662831  -3.757850 0.558343
0.487500 -0.672226  -3.782375 0.558644
0.490000 -0.681682  -3.806900 0.558945
0.492500 -0.691199  -3.831425 0.559245
0.495000 -0.700778  -3.855950 0.559546
0.497500 -0.710418  -3.880475 0.559847
0.500000 -0.720119  -3.905000 0.560148
0.502500 -0.729881  -3.929525 0.560448
0.505000 -0.739705  -3.954050 0.560749
0.507500 -0.749590  -3.978575 0.561050
0.510000 -0.759537  -4.003100 0.561351
0.512500 -0.769544  -4.027625 0.561651
0.515000 -0.779613  -4.052150 0.561952
0.517500 -0.789744  -4.076675 0.562253
0.520000 -0.799936  -4.101200 0.562553
0.522500 -0.810189  -4.125725 0.562854
0.525000 -0.820503  -4.150250 0.563155
0.527500 -0.830878  -4.174775 0.563456
0.530000 -0.841315  -4.199300 0.563756
0.532500 -0.851814  -4.223825 0.564057
0.535000 -0.862373  -4.248350 0.564358
0.537500 -0.872994  -4.272875 0.564659
0.540000 -0.883676  -4.297400 0.564959
0.542500 -0.894420  -4.321925 0.565260
0.545000 -0.905225  -4.346450 0.565561
0.547500 -0.916091  -4.370975 0.565862
0.550000 -0.927018  -4.395500 0.566162
0.552500 -0.938007  -4.420025 0.566463
0.555000 -0.949057  -4.444550 0.566764
0.557500 -0.960168  -4.469075 0.567065
0.560000 -0.971341  -4.493600 0.567365
0.562500 -0.982575  -4.518125 0.567666
0.565000 -0.993870  -4.542650 0.567967
0.567500 -1.005227  -4.567175 0.568267
0.570000 -1.016645  -4.591700 0.568568
0.572500 -1.028124  -4.616225 0.568869
0.575000 -1.039665  -4.640750 0.569170
0.577500 -1.051267  -4.665275 0.569470
0.580000 -1.062930  -4.689800 0.569771
0.582500 -1.074654  -4.714325 0.570072
0.585000 -1.086440  -4.738850 0.570373
0.587500 -1.098287  -4.763375 0.570673
0.590000 -1.110196  -4.787900 0.570974
0.592500 -1.122165  -4.812425 0.571275
0.595000 -1.134196  -4.836950 0.571576
0.597500 -1.146289  -4.861475 0.571876
0.600000 -1.158443  -4.886000 0.572177
0.602500 -1.170658  -4.910525 0.572478
0.605000 -1.182934  -4.935050 0.572779
0.607500 -1.195271  -4.959575 0.573079
0.610000 -1.207670  -4.984100 0.573380
0.612500 -1.220131  -5.008625 0.573681
0.615000 -1.232652  -5.033150 0.573982
0.617500 -1.245235  -5.057675 0.574282
0.620000 -1.257879  -5.082200 0.574583
0.622500 -1.270585  -5.106725 0.574884
0.625000 -1.283352  -5.131250 0.575184
0.627500 -1.296180  -5.155775 0.575485
0.630000 -1.309069  -5.180300 0.575786
0.632500 -1.322020  -5.204825 0.576087
0.635000 -1.335032  -5.229350 0.576387
0.637500 -1.348105  -5.253875 0.576688
0.640000 -1.361240  -5.278400 0.576989
0.642500 -1.374436  -5.302925 0.577290
0.645000 -1.387693  -5.327450 0.577590
0.647500 -1.401012  -5.351975 0.577891
0.650000 -1.414392  -5.376500 0.578192
0.652500 -1.427833  -5.401025 0.578493
0.655000 -1.441336  -5.425550 0.578793
0.657500 -1.454900  -5.450075 0.579094
0.660000 -1.468525  -5.474600 0.579395
0.662500 -1.482211  -5.499125 0.579696
0.665000 -1.495959  -5.523650 0.579996
0.667500 -1.509768  -5.548175 0.580297
0.670000 -1.523639  -5.572700 0.580598
0.672500 -1.537570  -5.597225 0.580898
0.675000 -1.551563  -5.621750 0.581199
0.677500 -1.565618  -5.646275 0.581500
0.680000 -1.579734  -5.670800 0.581801
0.682500 -1.593911  -5.695325 0.582101
0.685000 -1.608149  -5.719850 0.582402
0.687500 -1.622448  -5.744375 0.582703
0.690000 -1.636809  -5.768900 0.583004
0.692500 -1.651232  -5.793425 0.583304
0.695000 -1.665715  -5.817950 0.583605
0.697500 -1.680260  -5.842475 0.583906
0.700000 -1.694866  -5.867000 0.584207
0.702500 -1.709534  -5.891525 0.584507
0.705000 -1.724263  -5.916050 0.584808
0.707500 -1.739053  -5.940575 0.585109
0.710000 -1.753904  -5.965100 0.585410
0.712500 -1.768817  -5.989625 0.585710
0.715000 -1.783791  -6.014150 0.586011
0.717500 -1.798826  -6.038675 0.586312
0.720000 -1.813923  -6.063200 0.586612
0.722500 -1.829081  -6.087725 0.586913
0.725000 -1.844300  -6.112250 0.587214
0.727500 -1.859581  -6.136775 0.587515
0.730000 -1.874923  -6.161300 0.587815
0.732500 -1.890326  -6.185825 0.588116
0.735000 -1.905791  -6.210350 0.588417
0.737500 -1.921317  -6.234875 0.588718
0.740000 -1.936904  -6.259400 0.589018
0.742500 -1.952552  -6.283925 0.589319
0.745000 -1.968262  -6.308450 0.589620
0.747500 -1.984033  -6.332975 0.589921
