0.000000 0.000000  1.000000 0.500000
0.100000 0.100000  0.029000 0.981421
0.200000 0.102900  -0.951992 1.462593
0.300000 0.007701  -1.923929 1.926296
0.400000 -0.184692  -2.867914 2.300636
0.500000 -0.471483  -3.766664 2.468628
0.600000 -0.848150  -4.605787 2.286286
0.700000 -1.308729  -5.374654 1.604826
0.800000 -1.846194  -6.066785 0.291778
0.900000 -2.452872  -6.679726 -1.753307
1.000000 -3.120845  -7.214539 -4.590705
1.100000 -3.842299  -7.675043 -8.239809
1.200000 -4.609803  -8.066980 -12.684085
1.300000 -5.416501  -8.397219 -17.879238
1.400000 -6.256223  -8.673086 -23.762341
1.500000 -7.123532  -8.901862 -30.260276
1.600000 -8.013718  -9.090430 -37.296612
1.700000 -8.922761  -9.245071 -44.796615
1.800000 -9.847268  -9.371358 -52.690527
1.900000 -10.784404  -9.474134 -60.915391
2.000000 -11.731817  -9.557542 -69.415822
2.100000 -12.687571  -9.625076 -78.144032
2.200000 -13.650079  -9.679655 -87.059413
2.300000 -14.618044  -9.723698 -96.127866
2.400000 -15.590414  -9.759195 -105.321022
2.500000 -16.566334  -9.787776 -114.615454
2.600000 -17.545111  -9.810770 -123.991934
2.700000 -18.526188  -9.829258 -133.434749
2.800000 -19.509114  -9.844115 -142.931109
2.900000 -20.493526  -9.856049 -152.470635
3.000000 -21.479131  -9.865632 -162.044923
3.100000 -22.465694  -9.873325 -171.647182
3.200000 -23.453026  -9.879500 -181.271932
3.300000 -24.440976  -9.884454 -190.914757
3.400000 -25.429422  -9.888430 -200.572102
3.500000 -26.418265  -9.891620 -210.241108
3.600000 -27.407427  -9.894178 -219.919474
3.700000 -28.396844  -9.896231 -229.605354
3.800000 -29.386468  -9.897877 -239.297264
3.900000 -30.376255  -9.899197 -248.994012
4.000000 -31.366175  -9.900256 -258.694641
4.100000 -32.356201  -9.901105 -268.398383
4.200000 -33.346311  -9.901787 -278.104623
4.300000 -34.336490  -9.902333 -287.812867
4.400000 -35.326723  -9.902771 -297.522718
4.500000 -36.317000  -9.903122 -307.233857
4.600000 -37.307312  -9.903404 -316.946030
4.700000 -38.297653  -9.903630 -326.659031
4.800000 -39.288016  -9.903811 -336.372698
4.900000 -40.278397  -9.903956 -346.086897
5.000000 -41.268792  -9.904073 -355.801525
