0.000000 0.000000  1.000000 0.500000
0.010000 0.010000  0.951900 0.551157
0.020000 0.019519  0.899106 0.595677
0.030000 0.028510  0.841425 0.633682
0.040000 0.036924  0.778725 0.665434
0.050000 0.044712  0.710946 0.691342
0.060000 0.051821  0.638118 0.711961
0.070000 0.058202  0.560378 0.727975
0.080000 0.063806  0.477979 0.740168
0.090000 0.068586  0.391302 0.749385
0.100000 0.072499  0.300858 0.756471
0.110000 0.075507  0.207284 0.762210
0.120000 0.077580  0.111332 0.767259
0.130000 0.078694  0.013852 0.772079
0.140000 0.078832  -0.084239 0.776890
0.150000 0.077990  -0.181984 0.781637
0.160000 0.076170  -0.278428 0.785987
0.170000 0.073386  -0.372652 0.789347
0.180000 0.069659  -0.463808 0.790914
0.190000 0.065021  -0.551153 0.789740
0.200000 0.059509  -0.634064 0.784806
0.210000 0.053169  -0.712062 0.775102
0.220000 0.046048  -0.784811 0.759696
0.230000 0.038200  -0.852114 0.737792
0.240000 0.029679  -0.913909 0.708765
0.250000 0.020540  -0.970248 0.672186
0.260000 0.010837  -1.021279 0.627819
0.270000 0.000625  -1.067228 0.575615
0.280000 -0.010048  -1.108379 0.515684
0.290000 -0.021132  -1.145054 0.448274
0.300000 -0.032582  -1.177597 0.373737
0.310000 -0.044358  -1.206360 0.292500
0.320000 -0.056422  -1.231695 0.205039
0.330000 -0.068739  -1.253941 0.111858
0.340000 -0.081278  -1.273423 0.013465
0.350000 -0.094012  -1.290442 -0.089639
0.360000 -0.106917  -1.305280 -0.196974
0.370000 -0.119969  -1.318193 -0.308085
0.380000 -0.133151  -1.329411 -0.422549
0.390000 -0.146446  -1.339144 -0.539977
0.400000 -0.159837  -1.347579 -0.660016
0.410000 -0.173313  -1.354880 -0.782348
0.420000 -0.186862  -1.361195 -0.906685
0.430000 -0.200474  -1.366653 -1.032775
0.440000 -0.214140  -1.371366 -1.160392
0.450000 -0.227854  -1.375434 -1.289336
0.460000 -0.241608  -1.378943 -1.419433
0.470000 -0.255397  -1.381969 -1.550531
0.480000 -0.269217  -1.384577 -1.682494
0.490000 -0.283063  -1.386824 -1.815207
0.500000 -0.296931  -1.388760 -1.948567
0.510000 -0.310819  -1.390427 -2.082488
0.520000 -0.324723  -1.391863 -2.216892
0.530000 -0.338642  -1.393099 -2.351713
0.540000 -0.352573  -1.394163 -2.486893
0.550000 -0.366514  -1.395078 -2.622383
0.560000 -0.380465  -1.395866 -2.758141
0.570000 -0.394424  -1.396544 -2.894129
0.580000 -0.408389  -1.397127 -3.030315
0.590000 -0.422360  -1.397629 -3.166672
0.600000 -0.436337  -1.398061 -3.303176
0.610000 -0.450317  -1.398432 -3.439807
0.620000 -0.464302  -1.398751 -3.576546
0.630000 -0.478289  -1.399026 -3.713380
0.640000 -0.492279  -1.399262 -3.850293
0.650000 -0.506272  -1.399466 -3.987277
0.660000 -0.520267  -1.399640 -4.124320
0.670000 -0.534263  -1.399791 -4.261414
0.680000 -0.548261  -1.399920 -4.398552
0.690000 -0.562260  -1.400031 -4.535729
0.700000 -0.576261  -1.400127 -4.672938
0.710000 -0.590262  -1.400209 -4.810175
0.720000 -0.604264  -1.400280 -4.947437
0.730000 -0.618267  -1.400341 -5.084719
0.740000 -0.632270  -1.400393 -5.222019
0.750000 -0.646274  -1.400438 -5.359335
0.760000 -0.660278  -1.400477 -5.496664
0.770000 -0.674283  -1.400510 -5.634004
0.780000 -0.688288  -1.400538 -5.771354
0.790000 -0.702294  -1.400563 -5.908712
0.800000 -0.716299  -1.400584 -6.046078
0.810000 -0.730305  -1.400602 -6.183450
0.820000 -0.744311  -1.400618 -6.320827
0.830000 -0.758317  -1.400632 -6.458208
0.840000 -0.772324  -1.400643 -6.595594
0.850000 -0.786330  -1.400653 -6.732983
0.860000 -0.800337  -1.400662 -6.870375
0.870000 -0.814343  -1.400669 -7.007770
0.880000 -0.828350  -1.400675 -7.145167
0.890000 -0.842357  -1.400681 -7.282565
0.900000 -0.856363  -1.400685 -7.419966
0.910000 -0.870370  -1.400689 -7.557367
0.920000 -0.884377  -1.400693 -7.694770
0.930000 -0.898384  -1.400696 -7.832174
0.940000 -0.912391  -1.400698 -7.969579
0.950000 -0.926398  -1.400701 -8.106984
0.960000 -0.940405  -1.400702 -8.244390
0.970000 -0.954412  -1.400704 -8.381797
0.980000 -0.968419  -1.400706 -8.519204
0.990000 -0.982426  -1.400707 -8.656611
