0.000000 0.000000  1.000000 0.500000
0.100000 0.095310  0.909091 1.348216
0.200000 0.182322  0.833333 2.135797
0.300000 0.262364  0.769231 2.869651
0.400000 0.336472  0.714286 3.555895
0.500000 0.405465  0.666667 4.199835
0.600000 0.470004  0.625000 4.806048
0.700000 0.530628  0.588235 5.378474
0.800000 0.587787  0.555556 5.920508
0.900000 0.641854  0.526316 6.435091
1.000000 0.693147  0.500000 6.924774
1.100000 0.741937  0.476190 7.391784
1.200000 0.788457  0.454545 7.838072
1.300000 0.832909  0.434783 8.265356
1.400000 0.875469  0.416667 8.675154
1.500000 0.916291  0.400000 9.068812
1.600000 0.955511  0.384615 9.447532
1.700000 0.993252  0.370370 9.812387
1.800000 1.029619  0.357143 10.164342
1.900000 1.064711  0.344828 10.504265
2.000000 1.098612  0.333333 10.832942
2.100000 1.131402  0.322581 11.151084
2.200000 1.163151  0.312500 11.459338
2.300000 1.193922  0.303030 11.758293
2.400000 1.223775  0.294118 12.048490
2.500000 1.252763  0.285714 12.330421
2.600000 1.280934  0.277778 12.604541
2.700000 1.308333  0.270270 12.871268
2.800000 1.335001  0.263158 13.130987
2.900000 1.360977  0.256410 13.384053
3.000000 1.386294  0.250000 13.630798
3.100000 1.410987  0.243902 13.871526
3.200000 1.435085  0.238095 14.106524
3.300000 1.458615  0.232558 14.336055
3.400000 1.481605  0.227273 14.560367
3.500000 1.504077  0.222222 14.779691
3.600000 1.526056  0.217391 14.994242
3.700000 1.547563  0.212766 15.204223
3.800000 1.568616  0.208333 15.409824
3.900000 1.589235  0.204082 15.611222
4.000000 1.609438  0.200000 15.808586
4.100000 1.629241  0.196078 16.002073
4.200000 1.648659  0.192308 16.191832
4.300000 1.667707  0.188679 16.378004
4.400000 1.686399  0.185185 16.560721
4.500000 1.704748  0.181818 16.740108
4.600000 1.722767  0.178571 16.916284
4.700000 1.740466  0.175439 17.089363
4.800000 1.757858  0.172414 17.259449
4.900000 1.774952  0.169492 17.426646
5.000000 1.791759  0.166667 17.591049
