0.000000 0.000000  1.000000 0.500000
0.002500 0.002497  0.997506 0.522004
0.005000 0.004988  0.995025 0.543965
0.007500 0.007472  0.992556 0.565884
0.010000 0.009950  0.990099 0.587761
0.012500 0.012423  0.987654 0.609595
0.015000 0.014889  0.985222 0.631388
0.017500 0.017349  0.982801 0.653139
0.020000 0.019803  0.980392 0.674848
0.022500 0.022251  0.977995 0.696516
0.025000 0.024693  0.975610 0.718142
0.027500 0.027129  0.973236 0.739726
0.030000 0.029559  0.970874 0.761270
0.032500 0.031983  0.968523 0.782772
0.035000 0.034401  0.966184 0.804233
0.037500 0.036814  0.963855 0.825654
0.040000 0.039221  0.961538 0.847033
0.042500 0.041622  0.959233 0.868372
0.045000 0.044017  0.956938 0.889671
0.047500 0.046406  0.954654 0.910929
0.050000 0.048790  0.952381 0.932146
0.052500 0.051168  0.950119 0.953324
0.055000 0.053541  0.947867 0.974461
0.057500 0.055908  0.945626 0.995559
0.060000 0.058269  0.943396 1.016616
0.062500 0.060625  0.941176 1.037634
0.065000 0.062975  0.938967 1.058612
0.067500 0.065319  0.936768 1.079551
0.070000 0.067659  0.934579 1.100451
0.072500 0.069992  0.932401 1.121311
0.075000 0.072321  0.930233 1.142132
0.077500 0.074644  0.928074 1.162914
0.080000 0.076961  0.925926 1.183657
0.082500 0.079273  0.923788 1.204362
0.085000 0.081580  0.921659 1.225027
0.087500 0.083881  0.919540 1.245654
0.090000 0.086178  0.917431 1.266243
0.092500 0.088469  0.915332 1.286794
0.095000 0.090754  0.913242 1.307306
0.097500 0.093035  0.911162 1.327780
0.100000 0.095310  0.909091 1.348216
0.102500 0.097580  0.907029 1.368614
0.105000 0.099845  0.904977 1.388975
0.107500 0.102105  0.902935 1.409298
0.110000 0.104360  0.900901 1.429583
0.112500 0.106610  0.898876 1.449831
0.115000 0.108854  0.896861 1.470042
0.117500 0.111094  0.894855 1.490215
0.120000 0.113329  0.892857 1.510351
0.122500 0.115558  0.890869 1.530451
0.125000 0.117783  0.888889 1.550513
0.127500 0.120003  0.886918 1.570539
0.130000 0.122218  0.884956 1.590528
0.132500 0.124428  0.883002 1.610481
0.135000 0.126633  0.881057 1.630397
0.137500 0.128833  0.879121 1.650277
0.140000 0.131028  0.877193 1.670121
0.142500 0.133219  0.875274 1.689929
0.145000 0.135405  0.873362 1.709700
0.147500 0.137586  0.871460 1.729436
0.150000 0.139762  0.869565 1.749136
0.152500 0.141933  0.867679 1.768801
0.155000 0.144100  0.865801 1.788430
0.157500 0.146263  0.863931 1.808023
0.160000 0.148420  0.862069 1.827582
0.162500 0.150573  0.860215 1.847105
0.165000 0.152721  0.858369 1.866593
0.167500 0.154865  0.856531 1.886046
0.170000 0.157004  0.854701 1.905464
0.172500 0.159138  0.852878 1.924847
0.175000 0.161268  0.851064 1.944195
0.177500 0.163394  0.849257 1.963509
0.180000 0.165514  0.847458 1.982789
0.182500 0.167631  0.845666 2.002034
0.185000 0.169743  0.843882 2.021245
0.187500 0.171850  0.842105 2.040422
0.190000 0.173953  0.840336 2.059564
0.192500 0.176052  0.838574 2.078673
0.195000 0.178146  0.836820 2.097748
0.197500 0.180236  0.835073 2.116789
0.200000 0.182322  0.833333 2.135797
0.202500 0.184403  0.831601 2.154771
0.205000 0.186480  0.829876 2.173711
0.207500 0.188552  0.828157 2.192618
0.210000 0.190620  0.826446 2.211492
0.212500 0.192684  0.824742 2.230333
0.215000 0.194744  0.823045 2.249141
0.217500 0.196800  0.821355 2.267916
0.220000 0.198851  0.819672 2.286658
0.222500 0.200898  0.817996 2.305367
0.225000 0.202941  0.816327 2.324044
0.227500 0.204980  0.814664 2.342688
0.230000 0.207014  0.813008 2.361300
0.232500 0.209045  0.811359 2.379880
0.235000 0.211071  0.809717 2.398427
0.237500 0.213093  0.808081 2.416942
0.240000 0.215111  0.806452 2.435425
0.242500 0.217125  0.804829 2.453876
0.245000 0.219136  0.803213 2.472295
0.247500 0.221142  0.801603 2.490682
0.250000 0.223144  0.800000 2.509038
0.252500 0.225142  0.798403 2.527362
0.255000 0.227136  0.796813 2.545655
0.257500 0.229126  0.795229 2.563917
0.260000 0.231112  0.793651 2.582147
0.262500 0.233094  0.792079 2.600346
0.265000 0.235072  0.790514 2.618514
0.267500 0.237046  0.788955 2.636650
0.270000 0.239017  0.787402 2.654756
0.272500 0.240983  0.785855 2.672832
0.275000 0.242946  0.784314 2.690876
0.277500 0.244905  0.782779 2.708890
0.280000 0.246860  0.781250 2.726873
0.282500 0.248811  0.779727 2.744826
0.285000 0.250759  0.778210 2.762749
0.287500 0.252702  0.776699 2.780641
0.290000 0.254642  0.775194 2.798503
0.292500 0.256578  0.773694 2.816335
0.295000 0.258511  0.772201 2.834137
0.297500 0.260439  0.770713 2.851909
0.300000 0.262364  0.769231 2.869651
0.302500 0.264285  0.767754 2.887364
0.305000 0.266203  0.766284 2.905047
0.307500 0.268117  0.764818 2.922701
0.310000 0.270027  0.763359 2.940325
0.312500 0.271934  0.761905 2.957919
