0.375000 -0.262706  -2.157577 -0.249574
0.377500 -0.268100  -2.170465 -0.274601
0.380000 -0.273526  -2.183212 -0.300082
0.382500 -0.278984  -2.195821 -0.326018
0.385000 -0.284474  -2.208292 -0.352408
0.387500 -0.289994  -2.220626 -0.379255
0.390000 -0.295546  -2.232823 -0.406556
0.392500 -0.301128  -2.244884 -0.434313
0.395000 -0.306740  -2.256810 -0.462524
0.397500 -0.312382  -2.268602 -0.491191
0.400000 -0.318054  -2.280261 -0.520311
0.402500 -0.323754  -2.291787 -0.549886
0.405000 -0.329484  -2.303181 -0.579914
0.407500 -0.335242  -2.314445 -0.610394
0.410000 -0.341028  -2.325578 -0.641327
0.412500 -0.346842  -2.336582 -0.672710
0.415000 -0.352683  -2.347458 -0.704543
0.417500 -0.358552  -2.358207 -0.736824
0.420000 -0.364447  -2.368829 -0.769554
0.422500 -0.370369  -2.379326 -0.802729
0.425000 -0.376318  -2.389698 -0.836350
0.427500 -0.382292  -2.399946 -0.870415
0.430000 -0.388292  -2.410072 -0.904921
0.432500 -0.394317  -2.420076 -0.939868
0.435000 -0.400367  -2.429959 -0.975254
0.437500 -0.406442  -2.439722 -1.011076
0.440000 -0.412541  -2.449366 -1.047334
0.442500 -0.418665  -2.458893 -1.084026
0.445000 -0.424812  -2.468302 -1.121149
0.447500 -0.430983  -2.477596 -1.158701
0.450000 -0.437177  -2.486775 -1.196680
0.452500 -0.443394  -2.495840 -1.235085
0.455000 -0.449633  -2.504792 -1.273913
0.457500 -0.455895  -2.513632 -1.313161
0.460000 -0.462179  -2.522361 -1.352828
0.462500 -0.468485  -2.530980 -1.392911
0.465000 -0.474813  -2.539490 -1.433408
0.467500 -0.481162  -2.547893 -1.474315
0.470000 -0.487531  -2.556189 -1.515632
0.472500 -0.493922  -2.564378 -1.557354
0.475000 -0.500333  -2.572463 -1.599480
0.477500 -0.506764  -2.580444 -1.642007
0.480000 -0.513215  -2.588323 -1.684932
0.482500 -0.519686  -2.596099 -1.728252
0.485000 -0.526176  -2.603775 -1.771965
0.487500 -0.532685  -2.611351 -1.816068
0.490000 -0.539214  -2.618828 -1.860558
0.492500 -0.545761  -2.626207 -1.905433
0.495000 -0.552326  -2.633490 -1.950688
0.497500 -0.558910  -2.640676 -1.996322
0.500000 -0.565512  -2.647769 -2.042332
0.502500 -0.572131  -2.654767 -2.088714
0.505000 -0.578768  -2.661672 -2.135466
0.507500 -0.585422  -2.668486 -2.182584
0.510000 -0.592094  -2.675209 -2.230066
0.512500 -0.598782  -2.681842 -2.277908
0.515000 -0.605486  -2.688387 -2.326108
0.517500 -0.612207  -2.694843 -2.374663
0.520000 -0.618944  -2.701213 -2.423569
0.522500 -0.625697  -2.707496 -2.472823
0.525000 -0.632466  -2.713695 -2.522422
0.527500 -0.639250  -2.719809 -2.572363
0.530000 -0.646050  -2.725841 -2.622644
0.532500 -0.652864  -2.731791 -2.673260
0.535000 -0.659694  -2.737659 -2.724209
0.537500 -0.666538  -2.743447 -2.775488
0.540000 -0.673397  -2.749156 -2.827093
0.542500 -0.680270  -2.754786 -2.879021
0.545000 -0.687156  -2.760339 -2.931270
0.547500 -0.694057  -2.765815 -2.983836
0.550000 -0.700972  -2.771216 -3.036715
0.552500 -0.707900  -2.776542 -3.089906
0.555000 -0.714841  -2.781794 -3.143404
0.557500 -0.721796  -2.786973 -3.197207
0.560000 -0.728763  -2.792080 -3.251312
0.562500 -0.735743  -2.797116 -3.305715
0.565000 -0.742736  -2.802081 -3.360413
0.567500 -0.749741  -2.806977 -3.415404
0.570000 -0.756759  -2.811804 -3.470683
0.572500 -0.763788  -2.816563 -3.526249
0.575000 -0.770830  -2.821256 -3.582098
0.577500 -0.777883  -2.825882 -3.638226
0.580000 -0.784948  -2.830443 -3.694632
0.582500 -0.792024  -2.834940 -3.751311
0.585000 -0.799111  -2.839372 -3.808262
0.587500 -0.806209  -2.843742 -3.865480
0.590000 -0.813319  -2.848050 -3.922963
0.592500 -0.820439  -2.852297 -3.980708
0.595000 -0.827570  -2.856483 -4.038712
0.597500 -0.834711  -2.860609 -4.096972
0.600000 -0.841862  -2.864676 -4.155486
0.602500 -0.849024  -2.868685 -4.214249
0.605000 -0.856196  -2.872637 -4.273260
0.607500 -0.863377  -2.876532 -4.332515
0.610000 -0.870569  -2.880371 -4.392012
0.612500 -0.877770  -2.884154 -4.451747
0.615000 -0.884980  -2.887883 -4.511719
0.617500 -0.892200  -2.891559 -4.571924
0.620000 -0.899429  -2.895181 -4.632359
0.622500 -0.906667  -2.898751 -4.693021
0.625000 -0.913914  -2.902269 -4.753909
0.627500 -0.921169  -2.905736 -4.815019
0.630000 -0.928434  -2.909153 -4.876348
0.632500 -0.935706  -2.912520 -4.937894
0.635000 -0.942988  -2.915838 -4.999654
0.637500 -0.950277  -2.919108 -5.061625
0.640000 -0.957575  -2.922330 -5.123806
0.642500 -0.964881  -2.925505 -5.186193
0.645000 -0.972195  -2.928633 -5.248783
0.647500 -0.979516  -2.931716 -5.311575
0.650000 -0.986846  -2.934754 -5.374565
0.652500 -0.994182  -2.937747 -5.437752
0.655000 -1.001527  -2.940696 -5.501132
0.657500 -1.008879  -2.943602 -5.564703
0.660000 -1.016238  -2.946465 -5.628463
0.662500 -1.023604  -2.949285 -5.692410
0.665000 -1.030977  -2.952065 -5.756540
0.667500 -1.038357  -2.954803 -5.820852
0.670000 -1.045744  -2.957501 -5.885344
0.672500 -1.053138  -2.960159 -5.950012
0.675000 -1.060538  -2.962777 -6.014855
0.677500 -1.067945  -2.965357 -6.079870
0.680000 -1.075359  -2.967899 -6.145055
0.682500 -1.082778  -2.970403 -6.210408
0.685000 -1.090204  -2.972870 -6.275927
0.687500 -1.097636  -2.975300 -6.341609
0.690000 -1.105075  -2.977694 -6.407453
0.692500 -1.112519  -2.980052 -6.473456
0.695000 -1.119969  -2.982375 -6.539615
0.697500 -1.127425  -2.984664 -6.605930
0.700000 -1.134887  -2.986918 -6.672398
0.702500 -1.142354  -2.989139 -6.739016
0.705000 -1.149827  -2.991327 -6.805783
0.707500 -1.157305  -2.993482 -6.872697
0.710000 -1.164789  -2.995604 -6.939756
0.712500 -1.172278  -2.997695 -7.006957
0.715000 -1.179772  -2.999755 -7.074300
0.717500 -1.187271  -3.001783 -7.141781
0.720000 -1.194776  -3.003782 -7.209400
0.722500 -1.202285  -3.005750 -7.277153
0.725000 -1.209800  -3.007689 -7.345040
0.727500 -1.217319  -3.009598 -7.413059
0.730000 -1.224843  -3.011479 -7.481207
0.732500 -1.232372  -3.013331 -7.549483
0.735000 -1.239905  -3.015156 -7.617885
0.737500 -1.247443  -3.016953 -7.686412
0.740000 -1.254985  -3.018723 -7.755061
0.742500 -1.262532  -3.020466 -7.823831
0.745000 -1.270083  -3.022183 -7.892721
0.747500 -1.277639  -3.023874 -7.961728
0.750000 -1.285198  -3.025540 -8.030851
0.752500 -1.292762  -3.027180 -8.100088
0.755000 -1.300330  -3.028796 -8.169438
0.757500 -1.307902  -3.030387 -8.238899
0.760000 -1.315478  -3.031953 -8.308470
0.762500 -1.323058  -3.033497 -8.378149
0.765000 -1.330642  -3.035016 -8.447934
0.767500 -1.338229  -3.036513 -8.517824
0.770000 -1.345821  -3.037987 -8.587818
0.772500 -1.353416  -3.039439 -8.657913
0.775000 -1.361014  -3.040868 -8.728110
0.777500 -1.368616  -3.042276 -8.798405
0.780000 -1.376222  -3.043662 -8.868798
0.782500 -1.383831  -3.045028 -8.939287
0.785000 -1.391444  -3.046372 -9.009872
0.787500 -1.399060  -3.047696 -9.080550
0.790000 -1.406679  -3.049000 -9.151320
0.792500 -1.414301  -3.050284 -9.222181
0.795000 -1.421927  -3.051548 -9.293131
0.797500 -1.429556  -3.052794 -9.364170
0.800000 -1.437188  -3.054020 -9.435296
0.802500 -1.444823  -3.055227 -9.506508
0.805000 -1.452461  -3.056416 -9.577804
0.807500 -1.460102  -3.057587 -9.649183
0.810000 -1.467746  -3.058740 -9.720645
0.812500 -1.475393  -3.059875 -9.792187
0.815000 -1.483043  -3.060993 -9.863809
0.817500 -1.490695  -3.062094 -9.935510
0.820000 -1.498350  -3.063178 -10.007288
0.822500 -1.506008  -3.064245 -10.079143
0.825000 -1.513669  -3.065296 -10.151072
0.827500 -1.521332  -3.066331 -10.223076
0.830000 -1.528998  -3.067350 -10.295152
0.832500 -1.536666  -3.068353 -10.367301
0.835000 -1.544337  -3.069341 -10.439520
0.837500 -1.552011  -3.070314 -10.511809
0.840000 -1.559686  -3.071272 -10.584167
0.842500 -1.567365  -3.072215 -10.656593
0.845000 -1.575045  -3.073144 -10.729085
0.847500 -1.582728  -3.074059 -10.801643
0.850000 -1.590413  -3.074959 -10.874266
0.852500 -1.598101  -3.075846 -10.946953
0.855000 -1.605790  -3.076719 -11.019703
0.857500 -1.613482  -3.077578 -11.092514
0.860000 -1.621176  -3.078424 -11.165387
0.862500 -1.628872  -3.079258 -11.238320
0.865000 -1.636570  -3.080078 -11.311312
