0.800000 0.587787  0.555556 5.920508
0.805000 0.590561  0.554017 5.946867
0.810000 0.593327  0.552486 5.973157
0.815000 0.596085  0.550964 5.999379
0.820000 0.598837  0.549451 6.025534
0.825000 0.601580  0.547945 6.051622
0.830000 0.604316  0.546448 6.077642
0.835000 0.607044  0.544959 6.103597
0.840000 0.609766  0.543478 6.129485
0.845000 0.612479  0.542005 6.155307
0.850000 0.615186  0.540541 6.181063
0.855000 0.617885  0.539084 6.206754
0.860000 0.620576  0.537634 6.232381
0.865000 0.623261  0.536193 6.257942
0.870000 0.625938  0.534759 6.283440
0.875000 0.628609  0.533333 6.308873
0.880000 0.631272  0.531915 6.334243
0.885000 0.633928  0.530504 6.359549
0.890000 0.636577  0.529101 6.384792
0.895000 0.639219  0.527704 6.409973
0.900000 0.641854  0.526316 6.435091
0.905000 0.644482  0.524934 6.460147
0.910000 0.647103  0.523560 6.485140
0.915000 0.649718  0.522193 6.510073
0.920000 0.652325  0.520833 6.534944
0.925000 0.654926  0.519481 6.559754
0.930000 0.657520  0.518135 6.584503
0.935000 0.660107  0.516796 6.609192
0.940000 0.662688  0.515464 6.633821
0.945000 0.665262  0.514139 6.658389
0.950000 0.667829  0.512821 6.682899
0.955000 0.670390  0.511509 6.707349
0.960000 0.672944  0.510204 6.731739
0.965000 0.675492  0.508906 6.756072
0.970000 0.678034  0.507614 6.780345
0.975000 0.680568  0.506329 6.804561
0.980000 0.683097  0.505051 6.828718
0.985000 0.685619  0.503778 6.852818
0.990000 0.688135  0.502513 6.876860
0.995000 0.690644  0.501253 6.900845
