0.000000 0.000000  1.000000 0.500000
0.010000 0.010000  0.911900 0.513881
0.020000 0.019119  0.822116 0.525494
0.030000 0.027340  0.730774 0.535223
0.040000 0.034648  0.638015 0.543427
0.050000 0.041028  0.543985 0.550445
0.060000 0.046468  0.448844 0.556581
0.070000 0.050956  0.352759 0.562101
0.080000 0.054484  0.255903 0.567231
0.090000 0.057043  0.158458 0.572146
0.100000 0.058628  0.060609 0.576973
0.110000 0.059234  -0.037454 0.581783
0.120000 0.058859  -0.135540 0.586593
0.130000 0.057504  -0.233456 0.591362
0.140000 0.055169  -0.331011 0.595994
0.150000 0.051859  -0.428015 0.600336
0.160000 0.047579  -0.524283 0.604185
0.170000 0.042336  -0.619635 0.607290
0.180000 0.036140  -0.713895 0.609354
0.190000 0.029001  -0.806899 0.610040
0.200000 0.020932  -0.898488 0.608981
0.210000 0.011947  -0.988515 0.605780
0.220000 0.002062  -1.076843 0.600022
0.230000 -0.008707  -1.163348 0.591276
0.240000 -0.020340  -1.247914 0.579107
0.250000 -0.032819  -1.330441 0.563079
0.260000 -0.046124  -1.410840 0.542761
0.270000 -0.060232  -1.489035 0.517736
0.280000 -0.075122  -1.564963 0.487603
0.290000 -0.090772  -1.638572 0.451985
0.300000 -0.107158  -1.709823 0.410529
0.310000 -0.124256  -1.778688 0.362914
0.320000 -0.142043  -1.845151 0.308849
0.330000 -0.160494  -1.909205 0.248081
0.340000 -0.179586  -1.970854 0.180390
0.350000 -0.199295  -2.030112 0.105592
0.360000 -0.219596  -2.086998 0.023542
0.370000 -0.240466  -2.141542 -0.065871
0.380000 -0.261882  -2.193780 -0.162722
0.390000 -0.283819  -2.243754 -0.267053
0.400000 -0.306257  -2.291509 -0.378873
0.410000 -0.329172  -2.337099 -0.498161
0.420000 -0.352543  -2.380579 -0.624869
0.430000 -0.376349  -2.422007 -0.758922
0.440000 -0.400569  -2.461446 -0.900222
0.450000 -0.425183  -2.498959 -1.048650
0.460000 -0.450173  -2.534611 -1.204070
0.470000 -0.475519  -2.568468 -1.366326
0.480000 -0.501204  -2.600598 -1.535253
0.490000 -0.527210  -2.631067 -1.710670
0.500000 -0.553520  -2.659942 -1.892389
0.510000 -0.580120  -2.687289 -2.080214
0.520000 -0.606993  -2.713174 -2.273942
0.530000 -0.634124  -2.737661 -2.473367
0.540000 -0.661501  -2.760813 -2.678281
0.550000 -0.689109  -2.782692 -2.888473
0.560000 -0.716936  -2.803358 -3.103734
0.570000 -0.744970  -2.822870 -3.323854
0.580000 -0.773198  -2.841284 -3.548628
0.590000 -0.801611  -2.858655 -3.777851
0.600000 -0.830198  -2.875036 -4.011323
0.610000 -0.858948  -2.890478 -4.248850
0.620000 -0.887853  -2.905029 -4.490239
0.630000 -0.916903  -2.918737 -4.735307
0.640000 -0.946091  -2.931647 -4.983871
0.650000 -0.975407  -2.943801 -5.235759
0.660000 -1.004845  -2.955242 -5.490803
0.670000 -1.034397  -2.966007 -5.748839
0.680000 -1.064057  -2.976135 -6.009714
0.690000 -1.093819  -2.985661 -6.273276
0.700000 -1.123675  -2.994620 -6.539383
0.710000 -1.153622  -3.003042 -6.807897
0.720000 -1.183652  -3.010960 -7.078688
0.730000 -1.213762  -3.018401 -7.351630
0.740000 -1.243946  -3.025393 -7.626605
0.750000 -1.274200  -3.031963 -7.903497
0.760000 -1.304519  -3.038135 -8.182201
0.770000 -1.334901  -3.043933 -8.462612
0.780000 -1.365340  -3.049377 -8.744633
0.790000 -1.395834  -3.054490 -9.028173
0.800000 -1.426379  -3.059291 -9.313143
0.810000 -1.456971  -3.063799 -9.599460
0.820000 -1.487609  -3.068030 -9.887045
0.830000 -1.518290  -3.072002 -10.175825
0.840000 -1.549010  -3.075730 -10.465729
0.850000 -1.579767  -3.079229 -10.756690
0.860000 -1.610559  -3.082512 -11.048647
0.870000 -1.641385  -3.085593 -11.341539
0.880000 -1.672240  -3.088485 -11.635310
0.890000 -1.703125  -3.091197 -11.929909
0.900000 -1.734037  -3.093742 -12.225285
0.910000 -1.764975  -3.096130 -12.521392
0.920000 -1.795936  -3.098370 -12.818185
0.930000 -1.826920  -3.100471 -13.115623
0.940000 -1.857924  -3.102441 -13.413667
0.950000 -1.888949  -3.104290 -13.712279
0.960000 -1.919992  -3.106024 -14.011426
0.970000 -1.951052  -3.107650 -14.311075
0.980000 -1.982128  -3.109175 -14.611195
0.990000 -2.013220  -3.110605 -14.911757
