1.000000e+04 0 0.000000e+00
1.000000e+04 1 2.305778e+03
1.000000e+04 2 2.302417e+03
1.000000e+04 3 2.299170e+03
1.000000e+04 4 2.296038e+03
1.000000e+04 5 2.239302e+03
1.000000e+04 6 2.128726e+03
1.000000e+04 7 2.021496e+03
1.000000e+04 8 1.917644e+03
1.000000e+04 9 1.817192e+03
1.000000e+04 10 1.720150e+03
1.000000e+04 11 1.626520e+03
1.000000e+04 12 1.536295e+03
1.000000e+04 13 1.449455e+03
1.000000e+04 14 1.365976e+03
1.000000e+04 15 1.285820e+03
1.000000e+04 16 1.208946e+03
1.000000e+04 17 1.135301e+03
1.000000e+04 18 1.064828e+03
1.000000e+04 19 9.974599e+02
1.000000e+04 20 9.331256e+02
1.000000e+04 21 8.717468e+02
1.000000e+04 22 8.132399e+02
1.000000e+04 23 7.575162e+02
1.000000e+04 24 7.044820e+02
1.000000e+04 25 6.540398e+02
1.000000e+04 26 6.060878e+02
1.000000e+04 27 5.605209e+02
1.000000e+04 28 5.172310e+02
1.000000e+04 29 4.761069e+02
1.000000e+04 30 4.370352e+02
1.000000e+04 31 3.999004e+02
1.000000e+04 32 3.645850e+02
1.000000e+04 33 3.309700e+02
1.000000e+04 34 2.989351e+02
1.000000e+04 35 2.683587e+02
1.000000e+04 36 2.391184e+02
1.000000e+04 37 2.110909e+02
1.000000e+04 38 1.841524e+02
1.000000e+04 39 1.581784e+02
1.000000e+04 40 1.330441e+02
1.000000e+04 41 1.086244e+02
1.000000e+04 42 8.479391e+01
1.000000e+04 43 6.142708e+01
1.000000e+04 44 3.839823e+01
1.000000e+04 45 1.558157e+01
1.000000e+04 46 3.881125e+00
1.000000e+04 47 3.233314e+00
1.000000e+04 48 2.586025e+00
1.000000e+04 49 0.000000e+00
