1.180000 -0.186248  -0.882210 4.223596e-06
1.190000 -0.195070  -0.863585 4.330486e-06
1.200000 -0.203706  -0.844078 4.450174e-06
1.210000 -0.212147  -0.823708 4.583335e-06
1.220000 -0.220384  -0.802493 4.730615e-06
1.230000 -0.228409  -0.780455 4.892632e-06
1.240000 -0.236213  -0.757614 5.069968e-06
1.250000 -0.243789  -0.733992 5.263167e-06
1.260000 -0.251129  -0.709614 5.472733e-06
1.270000 -0.258225  -0.684501 5.699120e-06
1.280000 -0.265070  -0.658678 5.942739e-06
1.290000 -0.271657  -0.632171 6.203945e-06
1.300000 -0.277979  -0.605005 6.483038e-06
1.310000 -0.284029  -0.577207 6.780261e-06
1.320000 -0.289801  -0.548804 7.095797e-06
1.330000 -0.295289  -0.519824 7.429763e-06
1.340000 -0.300487  -0.490295 7.782212e-06
1.350000 -0.305390  -0.460247 8.153129e-06
1.360000 -0.309993  -0.429708 8.542430e-06
1.370000 -0.314290  -0.398708 8.949959e-06
1.380000 -0.318277  -0.367279 9.375489e-06
1.390000 -0.321950  -0.335452 9.818720e-06
1.400000 -0.325304  -0.303257 1.027928e-05
1.410000 -0.328337  -0.270726 1.075672e-05
1.420000 -0.331044  -0.237893 1.125052e-05
1.430000 -0.333423  -0.204788 1.176010e-05
1.440000 -0.335471  -0.171446 1.228477e-05
1.450000 -0.337185  -0.137899 1.282382e-05
1.460000 -0.338564  -0.104180 1.337644e-05
1.470000 -0.339606  -0.070324 1.394176e-05
1.480000 -0.340309  -0.036363 1.451885e-05
1.490000 -0.340673  -0.002332 1.510670e-05
1.500000 -0.340696  0.031735 1.570428e-05
1.510000 -0.340379  0.065805 1.631046e-05
1.520000 -0.339721  0.099843 1.692410e-05
1.530000 -0.338723  0.133815 1.754397e-05
1.540000 -0.337384  0.167687 1.816885e-05
1.550000 -0.335708  0.201425 1.879744e-05
1.560000 -0.333693  0.234996 1.942842e-05
1.570000 -0.331343  0.268365 2.006045e-05
1.580000 -0.328660  0.301500 2.069216e-05
1.590000 -0.325645  0.334366 2.132218e-05
1.600000 -0.322301  0.366930 2.194910e-05
1.610000 -0.318632  0.399160 2.257154e-05
1.620000 -0.314640  0.431023 2.318811e-05
1.630000 -0.310330  0.462487 2.379742e-05
1.640000 -0.305705  0.493520 2.439811e-05
1.650000 -0.300770  0.524091 2.498883e-05
1.660000 -0.295529  0.554168 2.556828e-05
1.670000 -0.289987  0.583721 2.613519e-05
1.680000 -0.284150  0.612720 2.668831e-05
1.690000 -0.278023  0.641135 2.722647e-05
1.700000 -0.271611  0.668937 2.774855e-05
1.710000 -0.264922  0.696098 2.825349e-05
1.720000 -0.257961  0.722590 2.874029e-05
1.730000 -0.250735  0.748386 2.920805e-05
1.740000 -0.243251  0.773460 2.965592e-05
1.750000 -0.235517  0.797785 3.008317e-05
1.760000 -0.227539  0.821337 3.048915e-05
1.770000 -0.219326  0.844090 3.087331e-05
1.780000 -0.210885  0.866023 3.123519e-05
1.790000 -0.202224  0.887111 3.157446e-05
1.800000 -0.193353  0.907334 3.189090e-05
1.810000 -0.184280  0.926669 3.218438e-05
1.820000 -0.175013  0.945097 3.245492e-05
1.830000 -0.165562  0.962599 3.270264e-05
1.840000 -0.155936  0.979155 3.292781e-05
1.850000 -0.146145  0.994748 3.313079e-05
1.860000 -0.136197  1.009363 3.331210e-05
1.870000 -0.126104  1.022983 3.347236e-05
1.880000 -0.115874  1.035593 3.361235e-05
1.890000 -0.105518  1.047180 3.373294e-05
1.900000 -0.095046  1.057732 3.383516e-05
1.910000 -0.084469  1.067237 3.392014e-05
1.920000 -0.073796  1.075684 3.398916e-05
1.930000 -0.063040  1.083063 3.404358e-05
1.940000 -0.052209  1.089367 3.408490e-05
1.950000 -0.041315  1.094588 3.411475e-05
1.960000 -0.030369  1.098720 3.413483e-05
1.970000 -0.019382  1.101757 3.414697e-05
1.980000 -0.008365  1.103695 3.415309e-05
1.990000 0.002672  1.104531 3.415518e-05
2.000000 0.013718  1.104264 3.415535e-05
2.010000 0.024760  1.102892 3.415576e-05
2.020000 0.035789  1.100416 3.415864e-05
2.030000 0.046793  1.096837 3.416630e-05
2.040000 0.057762  1.092158 3.418108e-05
2.050000 0.068683  1.086382 3.420537e-05
2.060000 0.079547  1.079513 3.424159e-05
2.070000 0.090342  1.071559 3.429219e-05
2.080000 0.101058  1.062524 3.435964e-05
2.090000 0.111683  1.052419 3.444639e-05
2.100000 0.122207  1.041250 3.455490e-05
2.110000 0.132620  1.029030 3.468760e-05
2.120000 0.142910  1.015768 3.484691e-05
2.130000 0.153068  1.001477 3.503519e-05
2.140000 0.163083  0.986170 3.525475e-05
2.150000 0.172944  0.969862 3.550787e-05
2.160000 0.182643  0.952567 3.579670e-05
2.170000 0.192169  0.934303 3.612337e-05
2.180000 0.201512  0.915086 3.648986e-05
2.190000 0.210662  0.894935 3.689809e-05
2.200000 0.219612  0.873869 3.734984e-05
2.210000 0.228350  0.851907 3.784678e-05
2.220000 0.236870  0.829072 3.839042e-05
2.230000 0.245160  0.805385 3.898217e-05
2.240000 0.253214  0.780869 3.962326e-05
2.250000 0.261023  0.755548 4.031476e-05
2.260000 0.268578  0.729446 4.105760e-05
2.270000 0.275873  0.702588 4.185250e-05
2.280000 0.282899  0.675001 4.270003e-05
2.290000 0.289649  0.646711 4.360057e-05
2.300000 0.296116  0.617746 4.455430e-05
2.310000 0.302293  0.588134 4.556121e-05
2.320000 0.308175  0.557905 4.662110e-05
2.330000 0.313754  0.527088 4.773357e-05
2.340000 0.319024  0.495712 4.889801e-05
2.350000 0.323982  0.463810 5.011361e-05
2.360000 0.328620  0.431412 5.137937e-05
2.370000 0.332934  0.398550 5.269408e-05
2.380000 0.336919  0.365256 5.405633e-05
2.390000 0.340572  0.331564 5.546451e-05
2.400000 0.343888  0.297507 5.691683e-05
2.410000 0.346863  0.263118 5.841130e-05
2.420000 0.349494  0.228432 5.994575e-05
2.430000 0.351778  0.193483 6.151783e-05
2.440000 0.353713  0.158305 6.312504e-05
2.450000 0.355296  0.122934 6.476468e-05
2.460000 0.356525  0.087404 6.643394e-05
2.470000 0.357399  0.051751 6.812984e-05
2.480000 0.357917  0.016012 6.984927e-05
2.490000 0.358077  -0.019780 7.158900e-05
2.500000 0.357879  -0.055588 7.334571e-05
2.510000 0.357323  -0.091376 7.511594e-05
2.520000 0.356410  -0.127108 7.689618e-05
2.530000 0.355138  -0.162749 7.868285e-05
2.540000 0.353511  -0.198263 8.047230e-05
2.550000 0.351528  -0.233614 8.226083e-05
2.560000 0.349192  -0.268767 8.404474e-05
2.570000 0.346505  -0.303686 8.582031e-05
2.580000 0.343468  -0.338336 8.758380e-05
2.590000 0.340084  -0.372683 8.933152e-05
2.600000 0.336357  -0.406692 9.105982e-05
2.610000 0.332291  -0.440327 9.276508e-05
2.620000 0.327887  -0.473556 9.444376e-05
2.630000 0.323152  -0.506345 9.609241e-05
2.640000 0.318088  -0.538660 9.770768e-05
2.650000 0.312702  -0.570469 9.928634e-05
2.660000 0.306997  -0.601739 1.008253e-04
2.670000 0.300980  -0.632439 1.023216e-04
2.680000 0.294655  -0.662537 1.037724e-04
2.690000 0.288030  -0.692003 1.051752e-04
2.700000 0.281110  -0.720806 1.065275e-04
2.710000 0.273902  -0.748917 1.078272e-04
2.720000 0.266413  -0.776307 1.090722e-04
2.730000 0.258649  -0.802948 1.102607e-04
2.740000 0.250620  -0.828813 1.113913e-04
2.750000 0.242332  -0.853875 1.124628e-04
2.760000 0.233793  -0.878108 1.134740e-04
2.770000 0.225012  -0.901487 1.144242e-04
2.780000 0.215997  -0.923989 1.153131e-04
2.790000 0.206757  -0.945588 1.161404e-04
2.800000 0.197301  -0.966264 1.169063e-04
2.810000 0.187639  -0.985994 1.176111e-04
2.820000 0.177779  -1.004758 1.182555e-04
2.830000 0.167731  -1.022536 1.188407e-04
2.840000 0.157506  -1.039309 1.193677e-04
2.850000 0.147113  -1.055060 1.198384e-04
2.860000 0.136562  -1.069771 1.202545e-04
2.870000 0.125864  -1.083427 1.206182e-04
2.880000 0.115030  -1.096014 1.209321e-04
2.890000 0.104070  -1.107517 1.211988e-04
2.900000 0.092995  -1.117924 1.214214e-04
2.910000 0.081816  -1.127223 1.216031e-04
2.920000 0.070543  -1.135405 1.217475e-04
2.930000 0.059189  -1.142459 1.218585e-04
2.940000 0.047765  -1.148378 1.219400e-04
2.950000 0.036281  -1.153154 1.219962e-04
2.960000 0.024749  -1.156783 1.220316e-04
2.970000 0.013182  -1.159258 1.220508e-04
2.980000 0.001589  -1.160576 1.220587e-04
2.990000 -0.010017  -1.160735 1.220602e-04
3.000000 -0.021624  -1.159733 1.220603e-04
3.010000 -0.033221  -1.157571 1.220644e-04
3.020000 -0.044797  -1.154248 1.220777e-04
3.030000 -0.056340  -1.149769 1.221055e-04
3.040000 -0.067837  -1.144135 1.221534e-04
3.050000 -0.079279  -1.137351 1.222268e-04
3.060000 -0.090652  -1.129423 1.223311e-04
3.070000 -0.101946  -1.120358 1.224720e-04
3.080000 -0.113150  -1.110163 1.226547e-04
3.090000 -0.124252  -1.098848 1.228847e-04
3.100000 -0.135240  -1.086423 1.231673e-04
3.110000 -0.146104  -1.072899 1.235077e-04
3.120000 -0.156833  -1.058289 1.239109e-04
3.130000 -0.167416  -1.042605 1.243819e-04
3.140000 -0.177842  -1.025864 1.249254e-04
3.150000 -0.188101  -1.008080 1.255460e-04
3.160000 -0.198182  -0.989270 1.262479e-04
3.170000 -0.208074  -0.969451 1.270355e-04
3.180000 -0.217769  -0.948644 1.279123e-04
3.190000 -0.227255  -0.926867 1.288821e-04
3.200000 -0.236524  -0.904142 1.299482e-04
3.210000 -0.245565  -0.880489 1.311134e-04
3.220000 -0.254370  -0.855933 1.323804e-04
3.230000 -0.262930  -0.830496 1.337516e-04
3.240000 -0.271235  -0.804203 1.352288e-04
3.250000 -0.279277  -0.777079 1.368136e-04
3.260000 -0.287047  -0.749152 1.385072e-04
3.270000 -0.294539  -0.720447 1.403105e-04
3.280000 -0.301743  -0.690993 1.422238e-04
3.290000 -0.308653  -0.660819 1.442470e-04
3.300000 -0.315261  -0.629953 1.463799e-04
3.310000 -0.321561  -0.598427 1.486215e-04
3.320000 -0.327545  -0.566271 1.509706e-04
3.330000 -0.333208  -0.533516 1.534255e-04
3.340000 -0.338543  -0.500196 1.559842e-04
3.350000 -0.343545  -0.466341 1.586442e-04
3.360000 -0.348208  -0.431987 1.614026e-04
3.370000 -0.352528  -0.397166 1.642560e-04
3.380000 -0.356500  -0.361913 1.672008e-04
3.390000 -0.360119  -0.326263 1.702329e-04
3.400000 -0.363382  -0.290251 1.733480e-04
3.410000 -0.366284  -0.253913 1.765411e-04
3.420000 -0.368823  -0.217285 1.798072e-04
3.430000 -0.370996  -0.180402 1.831409e-04
3.440000 -0.372800  -0.143303 1.865364e-04
3.450000 -0.374233  -0.106023 1.899876e-04
3.460000 -0.375294  -0.068599 1.934882e-04
3.470000 -0.375980  -0.031070 1.970319e-04
3.480000 -0.376290  0.006528 2.006117e-04
3.490000 -0.376225  0.044157 2.042208e-04
3.500000 -0.375783  0.081779 2.078521e-04
3.510000 -0.374966  0.119358 2.114983e-04
3.520000 -0.373772  0.156854 2.151521e-04
3.530000 -0.372203  0.194232 2.188062e-04
3.540000 -0.370261  0.231452 2.224530e-04
3.550000 -0.367947  0.268478 2.260852e-04
3.560000 -0.365262  0.305273 2.296952e-04
3.570000 -0.362209  0.341799 2.332756e-04
3.580000 -0.358791  0.378020 2.368192e-04
3.590000 -0.355011  0.413899 2.403186e-04
3.600000 -0.350872  0.449400 2.437668e-04
3.610000 -0.346378  0.484487 2.471570e-04
3.620000 -0.341533  0.519125 2.504823e-04
3.630000 -0.336342  0.553278 2.537364e-04
3.640000 -0.330809  0.586912 2.569130e-04
3.650000 -0.324940  0.619993 2.600062e-04
3.660000 -0.318740  0.652487 2.630104e-04
3.670000 -0.312215  0.684361 2.659203e-04
3.680000 -0.305371  0.715583 2.687311e-04
3.690000 -0.298216  0.746120 2.714383e-04
3.700000 -0.290754  0.775942 2.740378e-04
3.710000 -0.282995  0.805017 2.765259e-04
3.720000 -0.274945  0.833317 2.788997e-04
3.730000 -0.266612  0.860811 2.811562e-04
3.740000 -0.258004  0.887472 2.832935e-04
3.750000 -0.249129  0.913273 2.853098e-04
3.760000 -0.239996  0.938185 2.872039e-04
3.770000 -0.230614  0.962185 2.889754e-04
3.780000 -0.220992  0.985247 2.906241e-04
3.790000 -0.211140  1.007346 2.921504e-04
3.800000 -0.201067  1.028460 2.935556e-04
3.810000 -0.190782  1.048566 2.948412e-04
3.820000 -0.180296  1.067645 2.960094e-04
3.830000 -0.169620  1.085674 2.970628e-04
3.840000 -0.158763  1.102636 2.980049e-04
3.850000 -0.147737  1.118513 2.988394e-04
3.860000 -0.136552  1.133286 2.995707e-04
3.870000 -0.125219  1.146941 3.002037e-04
3.880000 -0.113749  1.159463 3.007437e-04
3.890000 -0.102155  1.170838 3.011968e-04
3.900000 -0.090446  1.181054 3.015692e-04
3.910000 -0.078636  1.190098 3.018678e-04
3.920000 -0.066735  1.197962 3.020998e-04
3.930000 -0.054755  1.204635 3.022730e-04
3.940000 -0.042709  1.210111 3.023953e-04
3.950000 -0.030608  1.214382 3.024752e-04
3.960000 -0.018464  1.217442 3.025214e-04
3.970000 -0.006289  1.219289 3.025428e-04
3.980000 0.005903  1.219918 3.025489e-04
3.990000 0.018103  1.219327 3.025489e-04
4.000000 0.030296  1.217517 3.025527e-04
4.010000 0.042471  1.214488 3.025700e-04
4.020000 0.054616  1.210241 3.026108e-04
4.030000 0.066718  1.204779 3.026850e-04
4.040000 0.078766  1.198107 3.028027e-04
4.050000 0.090747  1.190230 3.029739e-04
4.060000 0.102649  1.181156 3.032085e-04
4.070000 0.114461  1.170891 3.035164e-04
4.080000 0.126170  1.159445 3.039073e-04
4.090000 0.137764  1.146828 3.043908e-04
4.100000 0.149233  1.133051 3.049762e-04
4.110000 0.160563  1.118128 3.056725e-04
4.120000 0.171744  1.102072 3.064886e-04
4.130000 0.182765  1.084897 3.074329e-04
4.140000 0.193614  1.066621 3.085134e-04
4.150000 0.204280  1.047259 3.097378e-04
4.160000 0.214753  1.026831 3.111132e-04
4.170000 0.225021  1.005356 3.126465e-04
4.180000 0.235075  0.982854 3.143437e-04
4.190000 0.244903  0.959346 3.162106e-04
4.200000 0.254497  0.934856 3.182522e-04
4.210000 0.263845  0.909406 3.204731e-04
4.220000 0.272939  0.883022 3.228770e-04
4.230000 0.281770  0.855728 3.254671e-04
4.240000 0.290327  0.827551 3.282461e-04
4.250000 0.298602  0.798518 3.312158e-04
4.260000 0.306588  0.768658 3.343772e-04
4.270000 0.314274  0.737999 3.377310e-04
4.280000 0.321654  0.706572 3.412767e-04
4.290000 0.328720  0.674406 3.450134e-04
4.300000 0.335464  0.641534 3.489394e-04
4.310000 0.341879  0.607988 3.530521e-04
4.320000 0.347959  0.573800 3.573485e-04
4.330000 0.353697  0.539004 3.618246e-04
4.340000 0.359087  0.503634 3.664757e-04
4.350000 0.364124  0.467726 3.712966e-04
4.360000 0.368801  0.431313 3.762812e-04
4.370000 0.373114  0.394433 3.814229e-04
4.380000 0.377058  0.357122 3.867144e-04
4.390000 0.380630  0.319416 3.921477e-04
4.400000 0.383824  0.281353 3.977142e-04
4.410000 0.386637  0.242971 4.034048e-04
4.420000 0.389067  0.204307 4.092100e-04
4.430000 0.391110  0.165400 4.151195e-04
4.440000 0.392764  0.126289 4.211227e-04
4.450000 0.394027  0.087013 4.272086e-04
4.460000 0.394897  0.047610 4.333657e-04
4.470000 0.395373  0.008120 4.395824e-04
4.480000 0.395454  -0.031417 4.458465e-04
4.490000 0.395140  -0.070962 4.521456e-04
4.500000 0.394431  -0.110476 4.584674e-04
4.510000 0.393326  -0.149919 4.647991e-04
4.520000 0.391827  -0.189252 4.711278e-04
4.530000 0.389934  -0.228435 4.774409e-04
4.540000 0.387650  -0.267428 4.837255e-04
4.550000 0.384975  -0.306193 4.899688e-04
4.560000 0.381914  -0.344691 4.961581e-04
4.570000 0.378467  -0.382882 5.022810e-04
4.580000 0.374638  -0.420729 5.083251e-04
4.590000 0.370430  -0.458192 5.142784e-04
