0.000000 0.000000  1.000000 0.000000e+00
0.100000 0.100000  0.950000 0.000000e+00
0.200000 0.190000  0.805000 2.750135e-08
0.300000 0.261000  0.579500 1.217008e-07
0.400000 0.305900  0.296050 2.831323e-07
0.500000 0.320210  -0.017005 4.724698e-07
0.600000 0.302499  -0.328360 6.324016e-07
0.700000 0.254538  -0.606878 7.214712e-07
0.800000 0.181123  -0.824709 7.417078e-07
0.900000 0.089596  -0.960069 7.441268e-07
1.000000 -0.010890  -0.999422 8.070214e-07
1.100000 -0.110288  -0.938832 9.962147e-07
1.200000 -0.198657  -0.784360 1.326954e-06
1.300000 -0.267160  -0.551452 1.748211e-06
1.400000 -0.308947  -0.263398 2.160531e-06
1.500000 -0.319840  0.050995 2.462297e-06
1.600000 -0.298748  0.360289 2.603978e-06
1.700000 -0.247782  0.633554 2.623463e-06
1.800000 -0.172037  0.843464 2.641928e-06
1.900000 -0.079089  0.969027 2.817042e-06
2.000000 0.021768  0.997687 3.271094e-06
2.100000 0.120448  0.926579 4.026163e-06
2.200000 0.207084  0.762813 4.978894e-06
2.300000 0.273011  0.522765 5.932272e-06
2.400000 0.311637  0.230441 6.676543e-06
2.500000 0.319099  -0.084927 7.087146e-06
2.600000 0.294652  -0.391802 7.195667e-06
2.700000 0.240739  -0.659497 7.197357e-06
2.800000 0.162752  -0.861243 7.384008e-06
2.900000 0.068490  -0.976864 8.024180e-06
3.000000 -0.032621  -0.994799 9.239369e-06
3.100000 -0.130470  -0.913254 1.093190e-05
3.200000 -0.215271  -0.740383 1.280295e-05
3.300000 -0.278546  -0.493475 1.446258e-05
3.400000 -0.313966  -0.197218 1.559262e-05
3.500000 -0.317990  0.118760 1.609566e-05
3.600000 -0.290214  0.422862 1.616276e-05
3.700000 -0.233417  0.684678 1.622193e-05
3.800000 -0.153279  0.878026 1.677776e-05
3.900000 -0.057812  0.983572 1.820165e-05
4.000000 0.043435  0.990760 2.055909e-05
4.100000 0.140340  0.898872 2.355222e-05
4.200000 0.223210  0.717098 2.661315e-05
4.300000 0.283759  0.463613 2.912184e-05
4.400000 0.315933  0.163767 3.066590e-05
4.500000 0.316513  -0.152456 3.123521e-05
4.600000 0.285441  -0.453433 3.126256e-05
4.700000 0.225826  -0.709066 3.148013e-05
4.800000 0.143628  -0.893793 3.263733e-05
4.900000 0.047067  -0.989141 3.518803e-05
5.000000 -0.054200  -0.985575 3.907681e-05
5.100000 -0.150048  -0.883451 4.372190e-05
5.200000 -0.230890  -0.692982 4.821743e-05
5.300000 -0.288644  -0.433215 5.168654e-05
5.400000 -0.317533  -0.130126 5.364922e-05
5.500000 -0.314669  0.185975 5.425210e-05
5.600000 -0.280338  0.483479 5.425446e-05
5.700000 -0.217974  0.732635 5.475891e-05
5.800000 -0.133811  0.908527 5.678079e-05
5.900000 -0.036268  0.993567 6.082370e-05
6.000000 0.064902  0.979250 6.663750e-05
6.100000 0.159582  0.867008 7.327102e-05
6.200000 0.238304  0.668065 7.941713e-05
6.300000 0.293195  0.402316 8.392681e-05
6.400000 0.318767  0.096335 8.629125e-05
6.500000 0.312462  -0.219279 8.689173e-05
6.600000 0.274911  -0.512966 8.690005e-05
6.700000 0.209869  -0.755356 8.784907e-05
6.800000 0.123840  -0.922210 9.102960e-05
6.900000 0.025427  -0.996843 9.695005e-05
7.000000 -0.075529  -0.971792 1.050838e-04
7.100000 -0.168932  -0.849562 1.140242e-04
7.200000 -0.245441  -0.642376 1.220066e-04
7.300000 -0.297407  -0.370952 1.276063e-04
7.400000 -0.319632  -0.062433 1.303366e-04
7.500000 -0.309893  0.252330 1.308988e-04
7.600000 -0.269166  0.541859 1.309631e-04
7.700000 -0.201521  0.777203 1.325450e-04
7.800000 -0.113725  0.934826 1.372081e-04
7.900000 -0.014556  0.998967 1.454087e-04
8.000000 0.086068  0.963210 1.562553e-04
8.100000 0.178086  0.831133 1.677999e-04
8.200000 0.252295  0.615943 1.777727e-04
8.300000 0.301275  0.339158 1.844820e-04
8.400000 0.320127  0.028458 1.875259e-04
8.500000 0.306966  -0.285089 1.880174e-04
8.600000 0.263109  -0.570126 1.882098e-04
8.700000 0.192941  -0.798151 1.906445e-04
8.800000 0.103479  -0.946361 1.971428e-04
8.900000 0.003669  -0.999934 2.080410e-04
9.000000 -0.096508  -0.953515 2.219874e-04
9.100000 -0.187034  -0.811743 2.364100e-04
9.200000 -0.258857  -0.588798 2.484946e-04
9.300000 -0.304794  -0.306972 2.563044e-04
9.400000 -0.320251  0.005550 2.595961e-04
9.500000 -0.303684  0.317518 2.599913e-04
9.600000 -0.256748  0.597734 2.604084e-04
9.700000 -0.184137  0.818176 2.639484e-04
9.800000 -0.093113  0.956801 2.726622e-04
9.900000 0.007223  0.999746 2.866866e-04
10.000000 0.106836  0.942716 3.041109e-04
