0.000000 0.000000  1.000000 0.500000
0.010000 0.009998  0.999500 0.500000
0.020000 0.019987  0.998001 0.500000
0.030000 0.029955  0.995503 0.500000
0.040000 0.039893  0.992011 0.500000
0.050000 0.049792  0.987526 0.500000
0.060000 0.059641  0.982054 0.500000
0.070000 0.069430  0.975600 0.500000
0.080000 0.079149  0.968170 0.500000
0.090000 0.088790  0.959773 0.500000
0.100000 0.098342  0.950415 0.500000
0.110000 0.107795  0.940108 0.500000
0.120000 0.117141  0.928860 0.500000
0.130000 0.126369  0.916683 0.500000
0.140000 0.135471  0.903590 0.500000
0.150000 0.144438  0.889594 0.500000
0.160000 0.153260  0.874707 0.500000
0.170000 0.161929  0.858947 0.500000
0.180000 0.170436  0.842327 0.500000
0.190000 0.178773  0.824865 0.500000
0.200000 0.186931  0.806578 0.500000
0.210000 0.194902  0.787485 0.500000
0.220000 0.202678  0.767605 0.500000
0.230000 0.210251  0.746956 0.500000
0.240000 0.217615  0.725561 0.500000
0.250000 0.224760  0.703441 0.500000
0.260000 0.231681  0.680617 0.500000
0.270000 0.238370  0.657112 0.500000
0.280000 0.244821  0.632951 0.500000
0.290000 0.251027  0.608156 0.500000
0.300000 0.256982  0.582754 0.500000
0.310000 0.262680  0.556768 0.500000
0.320000 0.268116  0.530226 0.500000
0.330000 0.273283  0.503154 0.500000
0.340000 0.278177  0.475579 0.500000
0.350000 0.282793  0.447528 0.500000
0.360000 0.287126  0.419030 0.500000
0.370000 0.291172  0.390112 0.500000
0.380000 0.294927  0.360805 0.500000
0.390000 0.298387  0.331137 0.500000
0.400000 0.301549  0.301137 0.500000
0.410000 0.304409  0.270837 0.500000
0.420000 0.306965  0.240266 0.500000
0.430000 0.309213  0.209454 0.500000
0.440000 0.311153  0.178433 0.500000
0.450000 0.312781  0.147234 0.500000
0.460000 0.314097  0.115888 0.500000
0.470000 0.315099  0.084425 0.500000
0.480000 0.315785  0.052878 0.500000
0.490000 0.316156  0.021279 0.500000
0.500000 0.316211  -0.010342 0.500000
0.510000 0.315949  -0.041953 0.500000
0.520000 0.315372  -0.073522 0.500000
0.530000 0.314479  -0.105017 0.500000
0.540000 0.313272  -0.136407 0.500000
0.550000 0.311751  -0.167661 0.500000
0.560000 0.309919  -0.198747 0.500000
0.570000 0.307777  -0.229634 0.500000
0.580000 0.305327  -0.260292 0.500000
0.590000 0.302572  -0.290690 0.500000
0.600000 0.299515  -0.320796 0.500000
0.610000 0.296157  -0.350583 0.500000
0.620000 0.292504  -0.380018 0.500000
0.630000 0.288558  -0.409074 0.500000
0.640000 0.284324  -0.437720 0.500000
0.650000 0.279805  -0.465929 0.500000
0.660000 0.275007  -0.493672 0.500000
0.670000 0.269934  -0.520921 0.500000
0.680000 0.264590  -0.547650 0.500000
0.690000 0.258982  -0.573830 0.500000
0.700000 0.253116  -0.599437 0.500000
0.710000 0.246996  -0.624445 0.500000
0.720000 0.240629  -0.648828 0.500000
0.730000 0.234021  -0.672563 0.500000
0.740000 0.227180  -0.695625 0.500000
0.750000 0.220111  -0.717991 0.500000
0.760000 0.212822  -0.739640 0.500000
0.770000 0.205321  -0.760548 0.500000
0.780000 0.197614  -0.780697 0.500000
0.790000 0.189709  -0.800065 0.500000
0.800000 0.181615  -0.818632 0.500000
0.810000 0.173339  -0.836382 0.500000
0.820000 0.164890  -0.853295 0.500000
0.830000 0.156276  -0.869354 0.500000
0.840000 0.147506  -0.884545 0.500000
0.850000 0.138588  -0.898851 0.500000
0.860000 0.129532  -0.912258 0.500000
0.870000 0.120346  -0.924753 0.500000
0.880000 0.111040  -0.936323 0.500000
0.890000 0.101623  -0.946957 0.500000
0.900000 0.092104  -0.956644 0.500000
0.910000 0.082493  -0.965375 0.500000
0.920000 0.072800  -0.973140 0.500000
0.930000 0.063034  -0.979932 0.500000
0.940000 0.053205  -0.985745 0.500000
0.950000 0.043322  -0.990572 0.500000
0.960000 0.033396  -0.994408 0.500000
0.970000 0.023437  -0.997250 0.500000
0.980000 0.013455  -0.999094 0.500000
0.990000 0.003459  -0.999940 0.500000
1.000000 -0.006541  -0.999786 0.500000
1.010000 -0.016534  -0.998632 0.500000
1.020000 -0.026510  -0.996480 0.500000
1.030000 -0.036460  -0.993331 0.500000
1.040000 -0.046373  -0.989189 0.500000
1.050000 -0.056240  -0.984058 0.500000
1.060000 -0.066051  -0.977943 0.500000
1.070000 -0.075796  -0.970850 0.500000
1.080000 -0.085465  -0.962786 0.500000
1.090000 -0.095049  -0.953760 0.500000
1.100000 -0.104537  -0.943780 0.500000
1.110000 -0.113921  -0.932856 0.500000
1.120000 -0.123191  -0.920999 0.500000
1.130000 -0.132338  -0.908222 0.500000
1.140000 -0.141352  -0.894536 0.500000
1.150000 -0.150226  -0.879956 0.500000
1.160000 -0.158949  -0.864496 0.500000
1.170000 -0.167513  -0.848172 0.500000
1.180000 -0.175909  -0.830999 0.500000
1.190000 -0.184130  -0.812996 0.500000
1.200000 -0.192166  -0.794179 0.500000
1.210000 -0.200011  -0.774569 0.500000
1.220000 -0.207655  -0.754184 0.500000
1.230000 -0.215092  -0.733045 0.500000
1.240000 -0.222314  -0.711173 0.500000
1.250000 -0.229313  -0.688589 0.500000
1.260000 -0.236083  -0.665318 0.500000
1.270000 -0.242617  -0.641381 0.500000
1.280000 -0.248909  -0.616802 0.500000
1.290000 -0.254951  -0.591607 0.500000
1.300000 -0.260739  -0.565820 0.500000
1.310000 -0.266266  -0.539468 0.500000
1.320000 -0.271526  -0.512576 0.500000
1.330000 -0.276516  -0.485172 0.500000
1.340000 -0.281228  -0.457282 0.500000
1.350000 -0.285660  -0.428936 0.500000
1.360000 -0.289805  -0.400160 0.500000
1.370000 -0.293661  -0.370984 0.500000
1.380000 -0.297224  -0.341437 0.500000
1.390000 -0.300489  -0.311549 0.500000
1.400000 -0.303454  -0.281350 0.500000
1.410000 -0.306115  -0.250869 0.500000
1.420000 -0.308470  -0.220137 0.500000
1.430000 -0.310517  -0.189185 0.500000
1.440000 -0.312253  -0.158044 0.500000
1.450000 -0.313678  -0.126745 0.500000
1.460000 -0.314788  -0.095319 0.500000
1.470000 -0.315584  -0.063797 0.500000
1.480000 -0.316064  -0.032212 0.500000
1.490000 -0.316228  -0.000595 0.500000
1.500000 -0.316076  0.031023 0.500000
1.510000 -0.315607  0.062609 0.500000
1.520000 -0.314824  0.094133 0.500000
1.530000 -0.313725  0.125564 0.500000
1.540000 -0.312313  0.156868 0.500000
1.550000 -0.310588  0.188016 0.500000
1.560000 -0.308553  0.218975 0.500000
1.570000 -0.306209  0.249716 0.500000
1.580000 -0.303560  0.280207 0.500000
1.590000 -0.300606  0.310418 0.500000
1.600000 -0.297352  0.340318 0.500000
1.610000 -0.293801  0.369878 0.500000
1.620000 -0.289956  0.399069 0.500000
1.630000 -0.285821  0.427860 0.500000
1.640000 -0.281400  0.456223 0.500000
1.650000 -0.276698  0.484130 0.500000
1.660000 -0.271719  0.511554 0.500000
1.670000 -0.266469  0.538465 0.500000
1.680000 -0.260952  0.564838 0.500000
1.690000 -0.255174  0.590647 0.500000
1.700000 -0.249141  0.615865 0.500000
1.710000 -0.242858  0.640467 0.500000
1.720000 -0.236333  0.664428 0.500000
1.730000 -0.229572  0.687726 0.500000
1.740000 -0.222581  0.710335 0.500000
1.750000 -0.215368  0.732234 0.500000
1.760000 -0.207939  0.753401 0.500000
1.770000 -0.200302  0.773815 0.500000
1.780000 -0.192465  0.793455 0.500000
1.790000 -0.184436  0.812302 0.500000
1.800000 -0.176222  0.830336 0.500000
1.810000 -0.167832  0.847540 0.500000
1.820000 -0.159274  0.863897 0.500000
1.830000 -0.150557  0.879390 0.500000
1.840000 -0.141689  0.894003 0.500000
1.850000 -0.132680  0.907723 0.500000
1.860000 -0.123538  0.920535 0.500000
1.870000 -0.114272  0.932426 0.500000
1.880000 -0.104892  0.943385 0.500000
1.890000 -0.095408  0.953401 0.500000
1.900000 -0.085827  0.962464 0.500000
1.910000 -0.076161  0.970564 0.500000
1.920000 -0.066419  0.977694 0.500000
1.930000 -0.056611  0.983846 0.500000
1.940000 -0.046746  0.989014 0.500000
1.950000 -0.036834  0.993193 0.500000
1.960000 -0.026885  0.996379 0.500000
1.970000 -0.016910  0.998569 0.500000
1.980000 -0.006917  0.999761 0.500000
1.990000 0.003082  0.999952 0.500000
2.000000 0.013079  0.999144 0.500000
2.010000 0.023062  0.997337 0.500000
2.020000 0.033022  0.994533 0.500000
2.030000 0.042949  0.990734 0.500000
2.040000 0.052833  0.985944 0.500000
2.050000 0.062665  0.980169 0.500000
2.060000 0.072434  0.973414 0.500000
2.070000 0.082130  0.965685 0.500000
2.080000 0.091744  0.956990 0.500000
2.090000 0.101266  0.947339 0.500000
2.100000 0.110688  0.936740 0.500000
2.110000 0.119998  0.925205 0.500000
2.120000 0.129189  0.912745 0.500000
2.130000 0.138250  0.899372 0.500000
2.140000 0.147173  0.885099 0.500000
2.150000 0.155949  0.869942 0.500000
2.160000 0.164569  0.853915 0.500000
2.170000 0.173024  0.837034 0.500000
2.180000 0.181307  0.819316 0.500000
2.190000 0.189408  0.800778 0.500000
2.200000 0.197320  0.781440 0.500000
2.210000 0.205034  0.761321 0.500000
2.220000 0.212544  0.740440 0.500000
2.230000 0.219841  0.718819 0.500000
2.240000 0.226918  0.696480 0.500000
2.250000 0.233768  0.673443 0.500000
2.260000 0.240384  0.649734 0.500000
2.270000 0.246760  0.625374 0.500000
2.280000 0.252890  0.600390 0.500000
2.290000 0.258766  0.574805 0.500000
2.300000 0.264384  0.548645 0.500000
2.310000 0.269737  0.521937 0.500000
2.320000 0.274821  0.494707 0.500000
2.330000 0.279630  0.466982 0.500000
2.340000 0.284159  0.438790 0.500000
2.350000 0.288404  0.410160 0.500000
2.360000 0.292361  0.381119 0.500000
2.370000 0.296025  0.351697 0.500000
2.380000 0.299394  0.321924 0.500000
2.390000 0.302463  0.291829 0.500000
2.400000 0.305229  0.261441 0.500000
2.410000 0.307691  0.230793 0.500000
2.420000 0.309844  0.199914 0.500000
2.430000 0.311688  0.168834 0.500000
2.440000 0.313220  0.137586 0.500000
2.450000 0.314439  0.106201 0.500000
2.460000 0.315344  0.074709 0.500000
2.470000 0.315933  0.043142 0.500000
2.480000 0.316207  0.011533 0.500000
2.490000 0.316164  -0.020088 0.500000
2.500000 0.315805  -0.051689 0.500000
2.510000 0.315130  -0.083239 0.500000
2.520000 0.314141  -0.114705 0.500000
2.530000 0.312837  -0.146057 0.500000
2.540000 0.311220  -0.177262 0.500000
2.550000 0.309292  -0.208290 0.500000
2.560000 0.307055  -0.239110 0.500000
2.570000 0.304511  -0.269691 0.500000
2.580000 0.301662  -0.300002 0.500000
2.590000 0.298512  -0.330013 0.500000
2.600000 0.295063  -0.359694 0.500000
2.610000 0.291319  -0.389016 0.500000
2.620000 0.287284  -0.417948 0.500000
2.630000 0.282961  -0.446463 0.500000
2.640000 0.278356  -0.474531 0.500000
2.650000 0.273472  -0.502125 0.500000
2.660000 0.268315  -0.529217 0.500000
2.670000 0.262890  -0.555779 0.500000
2.680000 0.257201  -0.581786 0.500000
2.690000 0.251256  -0.607211 0.500000
2.700000 0.245059  -0.632029 0.500000
2.710000 0.238617  -0.656214 0.500000
2.720000 0.231937  -0.679744 0.500000
2.730000 0.225025  -0.702594 0.500000
2.740000 0.217888  -0.724742 0.500000
2.750000 0.210532  -0.746164 0.500000
2.760000 0.202967  -0.766841 0.500000
2.770000 0.195198  -0.786751 0.500000
2.780000 0.187234  -0.805874 0.500000
2.790000 0.179083  -0.824191 0.500000
2.800000 0.170753  -0.841685 0.500000
2.810000 0.162252  -0.858336 0.500000
2.820000 0.153589  -0.874130 0.500000
2.830000 0.144773  -0.889049 0.500000
2.840000 0.135811  -0.903080 0.500000
2.850000 0.126714  -0.916207 0.500000
2.860000 0.117490  -0.928418 0.500000
2.870000 0.108149  -0.939701 0.500000
2.880000 0.098699  -0.950044 0.500000
2.890000 0.089151  -0.959438 0.500000
2.900000 0.079514  -0.967872 0.500000
2.910000 0.069797  -0.975338 0.500000
2.920000 0.060010  -0.981829 0.500000
2.930000 0.050164  -0.987338 0.500000
2.940000 0.040267  -0.991860 0.500000
2.950000 0.030330  -0.995390 0.500000
2.960000 0.020362  -0.997925 0.500000
2.970000 0.010375  -0.999462 0.500000
2.980000 0.000376  -0.999999 0.500000
2.990000 -0.009622  -0.999537 0.500000
3.000000 -0.019611  -0.998075 0.500000
3.010000 -0.029580  -0.995615 0.500000
3.020000 -0.039520  -0.992160 0.500000
3.030000 -0.049420  -0.987713 0.500000
3.040000 -0.059271  -0.982278 0.500000
3.050000 -0.069062  -0.975861 0.500000
3.060000 -0.078785  -0.968468 0.500000
3.070000 -0.088429  -0.960106 0.500000
3.080000 -0.097984  -0.950785 0.500000
3.090000 -0.107441  -0.940513 0.500000
3.100000 -0.116791  -0.929300 0.500000
3.110000 -0.126024  -0.917158 0.500000
3.120000 -0.135131  -0.904100 0.500000
3.130000 -0.144103  -0.890137 0.500000
3.140000 -0.152931  -0.875284 0.500000
3.150000 -0.161606  -0.859556 0.500000
3.160000 -0.170119  -0.842968 0.500000
3.170000 -0.178462  -0.825538 0.500000
3.180000 -0.186627  -0.807282 0.500000
3.190000 -0.194605  -0.788218 0.500000
3.200000 -0.202389  -0.768367 0.500000
3.210000 -0.209970  -0.747747 0.500000
3.220000 -0.217341  -0.726380 0.500000
3.230000 -0.224495  -0.704286 0.500000
3.240000 -0.231425  -0.681489 0.500000
3.250000 -0.238123  -0.658009 0.500000
3.260000 -0.244583  -0.633872 0.500000
3.270000 -0.250798  -0.609101 0.500000
3.280000 -0.256763  -0.583721 0.500000
3.290000 -0.262470  -0.557757 0.500000
3.300000 -0.267916  -0.531235 0.500000
3.310000 -0.273093  -0.504183 0.500000
3.320000 -0.277998  -0.476626 0.500000
3.330000 -0.282624  -0.448592 0.500000
3.340000 -0.286968  -0.420110 0.500000
3.350000 -0.291025  -0.391208 0.500000
3.360000 -0.294791  -0.361915 0.500000
3.370000 -0.298262  -0.332260 0.500000
3.380000 -0.301435  -0.302273 0.500000
3.390000 -0.304307  -0.271983 0.500000
3.400000 -0.306874  -0.241421 0.500000
3.410000 -0.309134  -0.210618 0.500000
3.420000 -0.311086  -0.179605 0.500000
3.430000 -0.312726  -0.148412 0.500000
3.440000 -0.314053  -0.117070 0.500000
3.450000 -0.315067  -0.085611 0.500000
3.460000 -0.315765  -0.054067 0.500000
3.470000 -0.316148  -0.022469 0.500000
3.480000 -0.316215  0.009152 0.500000
3.490000 -0.315965  0.040763 0.500000
3.500000 -0.315399  0.072334 0.500000
3.510000 -0.314518  0.103833 0.500000
3.520000 -0.313323  0.135228 0.500000
3.530000 -0.311814  0.166487 0.500000
3.540000 -0.309994  0.197580 0.500000
3.550000 -0.307863  0.228475 0.500000
3.560000 -0.305425  0.259142 0.500000
3.570000 -0.302681  0.289550 0.500000
3.580000 -0.299635  0.319669 0.500000
3.590000 -0.296289  0.349467 0.500000
3.600000 -0.292647  0.378917 0.500000
3.610000 -0.288712  0.407987 0.500000
3.620000 -0.284489  0.436649 0.500000
3.630000 -0.279981  0.464875 0.500000
3.640000 -0.275193  0.492636 0.500000
3.650000 -0.270129  0.519905 0.500000
3.660000 -0.264796  0.546653 0.500000
3.670000 -0.259198  0.572855 0.500000
3.680000 -0.253341  0.598484 0.500000
3.690000 -0.247231  0.623515 0.500000
3.700000 -0.240873  0.647922 0.500000
3.710000 -0.234274  0.671681 0.500000
3.720000 -0.227441  0.694769 0.500000
3.730000 -0.220381  0.717162 0.500000
3.740000 -0.213101  0.738838 0.500000
3.750000 -0.205607  0.759775 0.500000
3.760000 -0.197908  0.779952 0.500000
3.770000 -0.190010  0.799350 0.500000
