0.000000 0.000000  1.000000 0.500000
0.250000 0.224760  0.703441 0.500000
0.500000 0.316211  -0.010342 0.500000
0.750000 0.220111  -0.717991 0.500000
1.000000 -0.006541  -0.999786 0.500000
1.250000 -0.229313  -0.688589 0.500000
1.500000 -0.316076  0.031023 0.500000
1.750000 -0.215368  0.732234 0.500000
2.000000 0.013079  0.999144 0.500000
2.250000 0.233768  0.673443 0.500000
2.500000 0.315805  -0.051689 0.500000
2.750000 0.210532  -0.746164 0.500000
3.000000 -0.019611  -0.998075 0.500000
3.250000 -0.238123  -0.658009 0.500000
3.500000 -0.315399  0.072334 0.500000
3.750000 -0.205607  0.759775 0.500000
4.000000 0.026135  0.996579 0.500000
4.250000 0.242376  0.642294 0.500000
4.500000 0.314859  -0.092948 0.500000
4.750000 0.200593  -0.773061 0.500000
5.000000 -0.032648  -0.994656 0.500000
5.250000 -0.246525  -0.626303 0.500000
5.500000 -0.314183  0.113522 0.500000
5.750000 -0.195494  0.786015 0.500000
6.000000 0.039146  0.992308 0.500000
6.250000 0.250568  0.610045 0.500000
6.500000 0.313374  -0.134048 0.500000
6.750000 0.190311  -0.798634 0.500000
7.000000 -0.045628  -0.989535 0.500000
7.250000 -0.254505  -0.593525 0.500000
7.500000 -0.312430  0.154516 0.500000
7.750000 -0.185047  0.810911 0.500000
8.000000 0.052091  0.986339 0.500000
8.250000 0.258333  0.576752 0.500000
8.500000 0.311352  -0.174918 0.500000
8.750000 0.179703  -0.822841 0.500000
9.000000 -0.058531  -0.982721 0.500000
9.250000 -0.262050  -0.559732 0.500000
9.500000 -0.310142  0.195245 0.500000
9.750000 -0.174283  0.834419 0.500000
