1.340000 -0.281289  -0.457125 2.022415e-10
1.350000 -0.285719  -0.428775 2.059252e-10
1.360000 -0.289864  -0.399996 2.095063e-10
1.370000 -0.293719  -0.370817 2.129766e-10
1.380000 -0.297281  -0.341267 2.163281e-10
1.390000 -0.300545  -0.311375 2.195534e-10
1.400000 -0.303508  -0.281173 2.226461e-10
1.410000 -0.306168  -0.250689 2.255999e-10
1.420000 -0.308522  -0.219954 2.284098e-10
1.430000 -0.310567  -0.189000 2.310712e-10
1.440000 -0.312302  -0.157856 2.335803e-10
1.450000 -0.313724  -0.126555 2.359344e-10
1.460000 -0.314833  -0.095127 2.381312e-10
1.470000 -0.315627  -0.063604 2.401697e-10
1.480000 -0.316105  -0.032018 2.420496e-10
1.490000 -0.316267  -0.000399 2.437716e-10
1.500000 -0.316113  0.031220 2.453371e-10
1.510000 -0.315643  0.062808 2.467487e-10
1.520000 -0.314857  0.094333 2.480098e-10
1.530000 -0.313756  0.125764 2.491248e-10
1.540000 -0.312342  0.157068 2.500988e-10
1.550000 -0.310615  0.188216 2.509382e-10
1.560000 -0.308577  0.219176 2.516500e-10
1.570000 -0.306231  0.249916 2.522421e-10
1.580000 -0.303579  0.280407 2.527233e-10
1.590000 -0.300623  0.310617 2.531033e-10
1.600000 -0.297367  0.340516 2.533925e-10
1.610000 -0.293813  0.370075 2.536021e-10
1.620000 -0.289965  0.399264 2.537439e-10
1.630000 -0.285828  0.428054 2.538304e-10
1.640000 -0.281404  0.456416 2.538748e-10
1.650000 -0.276699  0.484321 2.538907e-10
1.660000 -0.271718  0.511742 2.538924e-10
1.670000 -0.266464  0.538651 2.538944e-10
1.680000 -0.260945  0.565021 2.539118e-10
1.690000 -0.255164  0.590827 2.539598e-10
1.700000 -0.249128  0.616041 2.540540e-10
1.710000 -0.242843  0.640640 2.542100e-10
1.720000 -0.236315  0.664598 2.544437e-10
1.730000 -0.229551  0.687891 2.547709e-10
1.740000 -0.222558  0.710496 2.552073e-10
1.750000 -0.215341  0.732391 2.557685e-10
1.760000 -0.207910  0.753554 2.564699e-10
1.770000 -0.200270  0.773963 2.573267e-10
1.780000 -0.192430  0.793598 2.583536e-10
1.790000 -0.184398  0.812439 2.595649e-10
1.800000 -0.176182  0.830468 2.609745e-10
1.810000 -0.167789  0.847667 2.625957e-10
1.820000 -0.159228  0.864018 2.644409e-10
1.830000 -0.150509  0.879505 2.665220e-10
1.840000 -0.141638  0.894112 2.688501e-10
1.850000 -0.132626  0.907825 2.714354e-10
1.860000 -0.123482  0.920631 2.742873e-10
1.870000 -0.114214  0.932515 2.774140e-10
1.880000 -0.104831  0.943468 2.808229e-10
1.890000 -0.095344  0.953476 2.845202e-10
1.900000 -0.085762  0.962532 2.885110e-10
1.910000 -0.076094  0.970625 2.927993e-10
1.920000 -0.066349  0.977747 2.973880e-10
1.930000 -0.056539  0.983891 3.022785e-10
1.940000 -0.046672  0.989052 3.074712e-10
1.950000 -0.036758  0.993223 3.129652e-10
1.960000 -0.026807  0.996401 3.187583e-10
1.970000 -0.016830  0.998583 3.248470e-10
1.980000 -0.006835  0.999766 3.312265e-10
1.990000 0.003166  0.999950 3.378908e-10
2.000000 0.013164  0.999133 3.448326e-10
2.010000 0.023148  0.997318 3.520434e-10
2.020000 0.033110  0.994505 3.595135e-10
2.030000 0.043038  0.990698 3.672317e-10
2.040000 0.052924  0.985899 3.751862e-10
2.050000 0.062756  0.980115 3.833635e-10
2.060000 0.072526  0.973351 3.917495e-10
2.070000 0.082223  0.965614 4.003288e-10
2.080000 0.091838  0.956911 4.090851e-10
2.090000 0.101362  0.947251 4.180013e-10
2.100000 0.110783  0.936643 4.270593e-10
2.110000 0.120094  0.925100 4.362405e-10
2.120000 0.129285  0.912631 4.455254e-10
2.130000 0.138347  0.899249 4.548940e-10
2.140000 0.147270  0.884968 4.643258e-10
2.150000 0.156046  0.869802 4.737998e-10
2.160000 0.164666  0.853767 4.832947e-10
2.170000 0.173122  0.836877 4.927890e-10
2.180000 0.181404  0.819151 5.022611e-10
2.190000 0.189505  0.800605 5.116893e-10
2.200000 0.197416  0.781259 5.210520e-10
2.210000 0.205130  0.761132 5.303277e-10
2.220000 0.212639  0.740244 5.394952e-10
2.230000 0.219935  0.718615 5.485337e-10
2.240000 0.227011  0.696268 5.574227e-10
2.250000 0.233860  0.673224 5.661426e-10
2.260000 0.240476  0.649507 5.746742e-10
2.270000 0.246850  0.625141 5.829991e-10
2.280000 0.252978  0.600150 5.910998e-10
2.290000 0.258853  0.574558 5.989597e-10
2.300000 0.264470  0.548392 6.065634e-10
2.310000 0.269821  0.521677 6.138964e-10
2.320000 0.274903  0.494441 6.209456e-10
2.330000 0.279710  0.466710 6.276990e-10
2.340000 0.284237  0.438513 6.341461e-10
2.350000 0.288480  0.409877 6.402778e-10
2.360000 0.292435  0.380831 6.460865e-10
2.370000 0.296097  0.351405 6.515659e-10
2.380000 0.299463  0.321627 6.567117e-10
2.390000 0.302529  0.291527 6.615209e-10
2.400000 0.305293  0.261136 6.659922e-10
